,freq,E1 ellipticity,E2 ellipticity
0,297997069000.0,-0.28595543023834075,0.2859554302383405
1,302882267000.0,-0.28896934861520673,0.2889693486152065
2,307767465000.0,-0.2918836250437456,0.29188362504374543
3,312652662000.0,-0.294697384265461,0.29469738426546066
4,317537860000.0,-0.2974099816392239,0.29740998163922366
5,322423058000.0,-0.30002100618591243,0.3000210061859122
6,327308256000.0,-0.3025302879002305,0.3025302879002305
7,332193454000.0,-0.304937900570988,0.3049379005709877
8,337078652000.0,-0.3072441635590744,0.3072441635590746
9,341963850000.0,-0.3094496419196979,0.30944964191969787
10,346849047000.0,-0.31155514444203786,0.3115551444420379
11,351734245000.0,-0.31356172216666806,0.31356172216666783
12,356619443000.0,-0.31547066100331433,0.31547066100331445
13,361504641000.0,-0.3172834771242261,0.31728347712422594
14,366389839000.0,-0.3190019086926521,0.3190019086926521
15,371275037000.0,-0.3206279066451678,0.3206279066451676
16,376160234000.0,-0.32216362388850683,0.32216362388850694
17,381045432000.0,-0.32361140488048507,0.3236114048804849
18,385930630000.0,-0.3249737710569571,0.32497377105695724
19,390815828000.0,-0.3262534085284779,0.3262534085284777
20,395701026000.0,-0.32745315343034137,0.32745315343034154
21,400586224000.0,-0.32857597699465674,0.3285759769946567
22,405471422000.0,-0.3296249701673883,0.3296249701673883
23,410356619000.0,-0.33060332772085516,0.33060332772085516
24,415241817000.0,-0.33151433317478485,0.3315143331747847
25,420127015000.0,-0.3323613416922548,0.3323613416922546
26,425012213000.0,-0.33314776507872007,0.3331477650787198
27,429897411000.0,-0.3338770559630017,0.33387705596300166
28,434782609000.0,-0.3345526924964094,0.33455269249640923
29,439667807000.0,-0.3351781634578407,0.33517816345784035
30,444553004000.0,-0.33575695373553893,0.3357569537355391
31,449438202000.0,-0.3362925309507857,0.33629253095078565
32,454323400000.0,-0.336788331533026,0.3367883315330258
33,459208598000.0,-0.33724774866432955,0.3372477486643297
34,464093796000.0,-0.3376741203354392,0.33767412033543903
35,468978994000.0,-0.33807071827390744,0.33807071827390767
36,473864191000.0,-0.33844073756986115,0.33844073756986115
37,478749389000.0,-0.3387872874576572,0.3387872874576572
38,483634587000.0,-0.33911338213908915,0.33911338213908915
39,488519785000.0,-0.33942193316051344,0.33942193316051356
40,493404983000.0,-0.3397157421925423,0.33971574219254214
41,498290181000.0,-0.33999749466710194,0.33999749466710183
42,503175379000.0,-0.3402697541802636,0.3402697541802634
43,508060576000.0,-0.3405349575912587,0.3405349575912584
44,512945774000.0,-0.34079541112157685,0.34079541112157685
45,517830972000.0,-0.3410532866237646,0.3410532866237646
46,522716170000.0,-0.3413106190812479,0.3413106190812476
47,527601368000.0,-0.3415693045001726,0.34156930450017237
48,532486566000.0,-0.3418310984968548,0.34183109849685456
49,537371764000.0,-0.3420976155017831,0.3420976155017833
50,542256961000.0,-0.34237032849854676,0.342370328498547
51,547142159000.0,-0.34265056961039303,0.34265056961039286
52,552027357000.0,-0.34293953066921196,0.34293953066921185
53,556912555000.0,-0.34323826485690845,0.3432382648569084
54,561797753000.0,-0.3435476885610225,0.34354768856102275
55,566682951000.0,-0.34386858375109547,0.3438685837510957
56,571568149000.0,-0.34420160079535816,0.3442016007953582
57,576453346000.0,-0.34454726162016613,0.3445472616201663
58,581338544000.0,-0.3449059636161361,0.34490596361613635
59,586223742000.0,-0.34527798319758646,0.3452779831975867
60,591108940000.0,-0.3456634804038137,0.34566348040381395
61,595994138000.0,-0.3460625034615697,0.3460625034615696
62,600879336000.0,-0.34647499370122997,0.34647499370123
63,605764533000.0,-0.34690079064201407,0.34690079064201385
64,610649731000.0,-0.34733963774769827,0.3473396377476982
65,615534929000.0,-0.34779118751103477,0.34779118751103494
66,620420127000.0,-0.34825500758324335,0.34825500758324335
67,625305325000.0,-0.3487305866200983,0.3487305866200983
68,630190523000.0,-0.3492173403345188,0.34921734033451884
69,635075721000.0,-0.3497146176426992,0.3497146176426988
70,639960918000.0,-0.3502217067710218,0.3502217067710218
71,644846116000.0,-0.35073784192363266,0.35073784192363255
72,649731314000.0,-0.3512622089211237,0.3512622089211237
73,654616512000.0,-0.3517939518604362,0.35179395186043616
74,659501710000.0,-0.3523321792170707,0.35233217921707055
75,664386908000.0,-0.3528759699830282,0.352875969983028
76,669272106000.0,-0.3534243797125976,0.3534243797125973
77,674157303000.0,-0.3539764463386355,0.35397644633863545
78,679042501000.0,-0.35453119641521386,0.3545311964152137
79,683927699000.0,-0.355087650067343,0.3550876500673429
80,688812897000.0,-0.35564482688730303,0.3556448268873031
81,693698095000.0,-0.35620175106405694,0.35620175106405694
82,698583293000.0,-0.3567574564032784,0.35675745640327805
83,703468490000.0,-0.35731099099607944,0.3573109909960796
84,708353688000.0,-0.3578614221988368,0.3578614221988368
85,713238886000.0,-0.3584078402116825,0.35840784021168215
86,718124084000.0,-0.3589493625105587,0.3589493625105587
87,723009282000.0,-0.35948513742037824,0.3594851374203781
88,727894480000.0,-0.36001434750193784,0.3600143475019377
89,732779678000.0,-0.3605362126321238,0.3605362126321237
90,737664875000.0,-0.36104999266828514,0.36104999266828497
91,742550073000.0,-0.36155499032114363,0.3615549903211436
92,747435271000.0,-0.3620505526621107,0.3620505526621107
93,752320469000.0,-0.3625360733691329,0.3625360733691329
94,757205667000.0,-0.363010994132231,0.36301099413223104
95,762090865000.0,-0.36347480585718706,0.3634748058571871
96,766976063000.0,-0.36392704956811817,0.363927049568118
97,771861260000.0,-0.3643673169274511,0.36436731692745106
98,776746458000.0,-0.36479525091908693,0.364795250919087
99,781631656000.0,-0.3652105453593273,0.36521054535932723
100,786516854000.0,-0.36561294505097947,0.3656129450509793
101,791402052000.0,-0.3660022452354602,0.3660022452354602
102,796287250000.0,-0.3663782909030821,0.3663782909030821
103,801172447000.0,-0.3667409758127447,0.36674097581274456
104,806057645000.0,-0.36709024167668847,0.3670902416766885
105,810942843000.0,-0.3674260764203393,0.3674260764203395
106,815828041000.0,-0.3677485130186575,0.3677485130186575
107,820713239000.0,-0.3680576278058776,0.3680576278058776
108,825598437000.0,-0.36835353872680154,0.3683535387268014
109,830483635000.0,-0.36863640347055693,0.36863640347055693
110,835368832000.0,-0.3689064174505139,0.3689064174505139
111,840254030000.0,-0.3691638119725621,0.3691638119725621
112,845139228000.0,-0.36940885178557903,0.3694088517855788
113,850024426000.0,-0.36964183313466514,0.3696418331346652
114,854909624000.0,-0.36986308149620073,0.36986308149620084
115,859794822000.0,-0.3700729493457646,0.37007294934576446
116,864680020000.0,-0.37027181391462544,0.37027181391462544
117,869565217000.0,-0.3704600749103574,0.3704600749103574
118,874450415000.0,-0.37063815243868625,0.37063815243868614
119,879335613000.0,-0.37080648456462795,0.37080648456462756
120,884220811000.0,-0.3709655252925646,0.3709655252925647
121,889106009000.0,-0.3711157423893873,0.3711157423893872
122,893991207000.0,-0.3712576152940663,0.37125761529406626
123,898876404000.0,-0.3713916330530239,0.37139163305302403
124,903761602000.0,-0.37151829244729523,0.37151829244729506
125,908646800000.0,-0.3716380959094215,0.3716380959094215
126,913531998000.0,-0.3717515497805474,0.37175154978054736
127,918417196000.0,-0.3718591624952355,0.37185916249523565
128,923302394000.0,-0.37196144286374677,0.37196144286374716
129,928187592000.0,-0.37205889842391715,0.3720588984239168
130,933072789000.0,-0.37215203384442935,0.3721520338444293
131,937957987000.0,-0.37224134949198356,0.3722413494919835
132,942843185000.0,-0.3723273398778336,0.37232733987783373
133,947728383000.0,-0.37241049236327567,0.37241049236327567
134,952613581000.0,-0.3724912858345094,0.37249128583450936
135,957498779000.0,-0.37257018946160414,0.37257018946160414
136,962383977000.0,-0.3726476615191736,0.37264766151917345
137,967269174000.0,-0.3727241482517564,0.37272414825175654
138,972154372000.0,-0.37280008287419425,0.3728000828741944
139,977039570000.0,-0.37287588447150927,0.37287588447150893
140,981924768000.0,-0.3729519571080617,0.3729519571080618
141,986809966000.0,-0.3730286889087881,0.3730286889087881
142,991695164000.0,-0.37310645120533187,0.3731064512053317
143,996580362000.0,-0.3731855977288251,0.3731855977288251
144,1001465560000.0,-0.3732664638483029,0.37326646384830275
145,1006350760000.0,-0.37334936588776996,0.3733493658877703
146,1011235960000.0,-0.3734346003507413,0.373434600350741
147,1016121150000.0,-0.37352244320593786,0.3735224432059378
148,1021006350000.0,-0.37361314999054046,0.37361314999054046
149,1025891550000.0,-0.37370695418647115,0.3737069541864711
150,1030776750000.0,-0.37380406743181854,0.3738040674318187
151,1035661940000.0,-0.37390467867715715,0.37390467867715704
152,1040547140000.0,-0.3740089546062184,0.3740089546062185
153,1045432340000.0,-0.37411703803848656,0.3741170380384863
154,1050317540000.0,-0.3742290484347315,0.37422904843473154
155,1055202740000.0,-0.3743450814376523,0.37434508143765216
156,1060087930000.0,-0.3744652084220085,0.3744652084220086
157,1064973130000.0,-0.37458947734771036,0.3745894773477107
158,1069858330000.0,-0.3747179112106243,0.3747179112106243
159,1074743530000.0,-0.3748505090127044,0.3748505090127043
160,1079628720000.0,-0.3749872453051851,0.37498724530518507
161,1084513920000.0,-0.37512807146387056,0.3751280714638704
162,1089399120000.0,-0.3752729142403857,0.375272914240386
163,1094284320000.0,-0.3754216771922406,0.3754216771922408
164,1099169520000.0,-0.3755742408194908,0.37557424081949087
165,1104054710000.0,-0.37573046275159266,0.3757304627515927
166,1108939910000.0,-0.37589017964765026,0.37589017964765026
167,1113825110000.0,-0.3760532059980009,0.37605320599800085
168,1118710310000.0,-0.37621933622889786,0.3762193362288979
169,1123595510000.0,-0.37638834533446236,0.37638834533446225
170,1128480700000.0,-0.3765599895902846,0.37655998959028447
171,1133365900000.0,-0.3767340091528792,0.3767340091528791
172,1138251100000.0,-0.3769101272633183,0.3769101272633184
173,1143136300000.0,-0.37708805308577165,0.3770880530857717
174,1148021490000.0,-0.37726748255316134,0.37726748255316134
175,1152906690000.0,-0.37744810152763003,0.3774481015276301
176,1157791890000.0,-0.37762958540769703,0.377629585407697
177,1162677090000.0,-0.3778116025270763,0.37781160252707624
178,1167562290000.0,-0.3779938158383318,0.3779938158383321
179,1172447480000.0,-0.3781758847011157,0.3781758847011155
180,1177332680000.0,-0.3783574686390782,0.37835746863907793
181,1182217880000.0,-0.3785382274657302,0.37853822746573
182,1187103080000.0,-0.3787178252275391,0.3787178252275387
183,1191988280000.0,-0.3788959323596712,0.37889593235967095
184,1196873470000.0,-0.37907222792032463,0.37907222792032474
185,1201758670000.0,-0.37924640367582574,0.3792464036758259
186,1206643870000.0,-0.37941816461508726,0.3794181646150872
187,1211529070000.0,-0.3795872330988363,0.3795872330988362
188,1216414260000.0,-0.37975335086278017,0.37975335086277995
189,1221299460000.0,-0.3799162830577805,0.37991628305778063
190,1226184660000.0,-0.38007581885758934,0.3800758188575892
191,1231069860000.0,-0.3802317754163715,0.38023177541637143
192,1235955060000.0,-0.38038400003524,0.38038400003524
193,1240840250000.0,-0.38053237226949493,0.38053237226949516
194,1245725450000.0,-0.38067680741514665,0.3806768074151465
195,1250610650000.0,-0.3808172568156846,0.38081725681568446
196,1255495850000.0,-0.3809537110394913,0.38095371103949127
197,1260381050000.0,-0.38108620132761745,0.38108620132761756
198,1265266240000.0,-0.38121480086734355,0.38121480086734355
199,1270151440000.0,-0.3813396271234326,0.38133962712343256
200,1275036640000.0,-0.3814608412763283,0.3814608412763283
201,1279921840000.0,-0.38157865000849817,0.38157865000849794
