freq,ref_ind_s,ref_ind_f,bf,delta_N_s,delta_N_f,bf_err
2.98E+011,3.08E+000,3.04E+000,0.044218,4.65E-004,6.33E-004,0.0007850069
3.03E+011,3.08E+000,3.04E+000,0.043793,4.87E-004,5.93E-004,0.0007677841
3.08E+011,3.08E+000,3.04E+000,0.04342,3.98E-004,5.53E-004,0.0006816526
3.13E+011,3.08E+000,3.04E+000,0.043123,4.91E-004,5.56E-004,0.0007417749
3.18E+011,3.08E+000,3.04E+000,0.042911,4.06E-004,6.31E-004,0.0007497922
3.22E+011,3.08E+000,3.04E+000,0.042783,4.00E-004,5.65E-004,0.0006921562
3.27E+011,3.08E+000,3.04E+000,0.042728,4.41E-004,5.46E-004,0.0007016652
3.32E+011,3.08E+000,3.04E+000,0.042728,3.61E-004,5.51E-004,0.0006586546
3.37E+011,3.08E+000,3.04E+000,0.042763,4.42E-004,5.45E-004,0.0007016517
3.42E+011,3.08E+000,3.04E+000,0.042816,3.81E-004,6.71E-004,0.0007716268
3.47E+011,3.08E+000,3.04E+000,0.042876,3.84E-004,5.50E-004,0.0006706432
3.52E+011,3.08E+000,3.04E+000,0.04294,4.31E-004,5.73E-004,0.0007171324
3.57E+011,3.08E+000,3.04E+000,0.043014,3.86E-004,7.22E-004,0.0008184765
3.62E+011,3.08E+000,3.04E+000,0.043107,3.85E-004,5.84E-004,0.0006996784
3.66E+011,3.08E+000,3.04E+000,0.043225,3.62E-004,7.12E-004,0.0007990944
3.71E+011,3.08E+000,3.04E+000,0.043368,3.77E-004,5.88E-004,0.0006982178
3.76E+011,3.08E+000,3.04E+000,0.043531,3.45E-004,5.40E-004,0.0006412583
3.81E+011,3.08E+000,3.04E+000,0.043699,3.64E-004,7.41E-004,0.0008261299
3.86E+011,3.08E+000,3.04E+000,0.043854,3.41E-004,5.04E-004,0.000608663
3.91E+011,3.08E+000,3.04E+000,0.043979,3.23E-004,5.54E-004,0.0006411764
3.96E+011,3.08E+000,3.04E+000,0.044062,4.23E-004,6.37E-004,0.0007649709
4.01E+011,3.08E+000,3.04E+000,0.044095,3.47E-004,5.19E-004,0.0006242374
4.05E+011,3.08E+000,3.04E+000,0.04408,4.20E-004,6.61E-004,0.0007832628
4.10E+011,3.08E+000,3.04E+000,0.04403,4.90E-004,5.64E-004,0.0007473763
4.15E+011,3.08E+000,3.04E+000,0.043961,3.87E-004,5.51E-004,0.0006733917
4.20E+011,3.08E+000,3.04E+000,0.043893,5.17E-004,7.10E-004,0.0008783341
4.25E+011,3.08E+000,3.04E+000,0.043839,4.25E-004,5.68E-004,0.00070942
