freq,ref_ind,kappa,alpha,epsilon_r,epsilon_i,ref_ind_S,kappa_S,alpha_S,alpha_max,epsilonS_r,epsilonS_i,delta_N,delta_A,H_measure_r,H_measure_i,H_calc_r,H_calc_i,T_measure,T_calc
+2.29115779e+012,+3.06378807e+000,+7.75032402e-003,+7.43812493e+000,+9.38673725e+000,+4.74907005e-002,+3.06376490e+000,+7.79447034e-003,+7.48567159e+000,+3.14183012e+001,+9.38659463e+000,+4.77608493e-002,+7.54202231e-004,+6.67783356e-001,+1.39912630e-001,-1.99806025e-001,+1.39912630e-001,-1.99806025e-001,+2.43922102e-001,+2.43922102e-001
+2.29604299e+012,+3.06392275e+000,+7.78957149e-003,+7.49173130e+000,+9.38756193e+000,+4.77332906e-002,+3.06389137e+000,+7.82676551e-003,+7.53271435e+000,+3.14403816e+001,+9.38736905e+000,+4.79607186e-002,+7.34761883e-004,+6.78515807e-001,-9.72233626e-003,-2.41772939e-001,-9.72233631e-003,-2.41772939e-001,+2.41968341e-001,+2.41968341e-001
+2.30092819e+012,+3.06404524e+000,+7.83438681e-003,+7.55086463e+000,+9.38831188e+000,+4.80098313e-002,+3.06401392e+000,+7.86508438e-003,+7.58569911e+000,+3.14453818e+001,+9.38811946e+000,+4.81974561e-002,+7.17926380e-004,+6.82169900e-001,-1.52587301e-001,-1.85031511e-001,-1.52587301e-001,-1.85031511e-001,+2.39832326e-001,+2.39832326e-001
+2.30581339e+012,+3.06415844e+000,+7.88286392e-003,+7.61371814e+000,+9.38900480e+000,+4.83086880e-002,+3.06413298e+000,+7.90868250e-003,+7.64394332e+000,+3.14193435e+001,+9.38884840e+000,+4.84665098e-002,+7.69321297e-004,+5.99987474e-001,-2.31159658e-001,-5.48727841e-002,-2.31159658e-001,-5.48727840e-002,+2.37583269e-001,+2.37583269e-001
+2.31069858e+012,+3.06426646e+000,+7.93454484e-003,+7.67987101e+000,+9.38966596e+000,+4.86271192e-002,+3.06424912e+000,+7.95654807e-003,+7.70649942e+000,+3.13550673e+001,+9.38955936e+000,+4.87616908e-002,+7.21716011e-004,+6.12068318e-001,-2.15329480e-001,+9.47141649e-002,-2.15329479e-001,+9.47141650e-002,+2.35239363e-001,+2.35239363e-001
+2.31558378e+012,+3.06437318e+000,+7.98974621e-003,+7.74965007e+000,+9.39031916e+000,+4.89671280e-002,+3.06436277e+000,+8.00718008e-003,+7.77193672e+000,+3.12528930e+001,+9.39025507e+000,+4.90738091e-002,+7.29514158e-004,+5.54989634e-001,-1.13456483e-001,+2.03272934e-001,-1.13456483e-001,+2.03272934e-001,+2.32792309e-001,+2.32792309e-001
+2.32046898e+012,+3.06448107e+000,+8.04862618e-003,+7.82323063e+000,+9.39097942e+000,+4.93297251e-002,+3.06447415e+000,+8.05841635e-003,+7.83816913e+000,+3.11203157e+001,+9.39093686e+000,+4.93896172e-002,+6.32393068e-004,+6.36943615e-001,+3.17834572e-002,+2.28035360e-001,+3.17834572e-002,+2.28035360e-001,+2.30239687e-001,+2.30239687e-001
+2.32535418e+012,+3.06459047e+000,+8.11017685e-003,+7.89965352e+000,+9.39164898e+000,+4.97087414e-002,+3.06458338e+000,+8.10746013e-003,+7.90247431e+000,+3.09702880e+001,+9.39160553e+000,+4.96919750e-002,+6.62594366e-004,+6.45694121e-001,+1.61101806e-001,+1.60798781e-001,+1.61101806e-001,+1.60798781e-001,+2.27618189e-001,+2.27618189e-001
+2.33023937e+012,+3.06469982e+000,+8.17137751e-003,+7.97598669e+000,+9.39231820e+000,+5.00856383e-002,+3.06469077e+000,+8.15118270e-003,+7.96178278e+000,+3.08180322e+001,+9.39226305e+000,+4.99617087e-002,+8.01719313e-004,+6.17969413e-001,+2.22934993e-001,+3.06315593e-002,+2.22934993e-001,+3.06315593e-002,+2.25029562e-001,+2.25029561e-001
+2.33512457e+012,+3.06480669e+000,+8.22696395e-003,+8.04707886e+000,+9.39297239e+000,+5.04281084e-002,+3.06479711e+000,+8.18665777e-003,+8.01319757e+000,+3.06767198e+001,+9.39291428e+000,+5.01808901e-002,+8.08856060e-004,+7.92976503e-001,+1.94195650e-001,-1.08898258e-001,+1.94195650e-001,-1.08898258e-001,+2.22644966e-001,+2.22644966e-001
+2.34000977e+012,+3.06490958e+000,+8.27032681e-003,+8.10641721e+000,+9.39360235e+000,+5.06956078e-002,+3.06490384e+000,+8.21178026e-003,+8.05460322e+000,+3.05533292e+001,+9.39356814e+000,+5.03366338e-002,+9.58575208e-004,+8.10049757e-001,+8.84936234e-002,-2.02152575e-001,+8.84936234e-002,-2.02152575e-001,+2.20673480e-001,+2.20673480e-001
+2.34489497e+012,+3.06500923e+000,+8.29554037e-003,+8.14810628e+000,+9.39421278e+000,+5.08518157e-002,+3.06501310e+000,+8.22578848e-003,+8.08518745e+000,+3.04465457e+001,+9.39423762e+000,+5.04242988e-002,+9.27518263e-004,+9.55663855e-001,-5.08623604e-002,-2.13317984e-001,-5.08623604e-002,-2.13317984e-001,+2.19297838e-001,+2.19297838e-001
+2.34978017e+012,+3.06510894e+000,+8.29964027e-003,+8.16911692e+000,+9.39482392e+000,+5.08786031e-002,+3.06512748e+000,+8.22954337e-003,+8.10573000e+000,+3.03478311e+001,+9.39493875e+000,+5.04491991e-002,+9.64717990e-004,+9.50086138e-001,-1.68603246e-001,-1.39145706e-001,-1.68603246e-001,-1.39145706e-001,+2.18605997e-001,+2.18605997e-001
+2.35466536e+012,+3.06521367e+000,+8.28393934e-003,+8.17061439e+000,+9.39546624e+000,+5.07840882e-002,+3.06524979e+000,+8.22548696e-003,+8.11857814e+000,+3.02450941e+001,+9.39568860e+000,+5.04263443e-002,+9.83294532e-004,+8.98755314e-001,-2.18356808e-001,-9.26398833e-003,-2.18356808e-001,-9.26398831e-003,+2.18553237e-001,+2.18553237e-001
+2.35955056e+012,+3.06532887e+000,+8.25384155e-003,+8.15781824e+000,+9.39617296e+000,+5.06014776e-002,+3.06538249e+000,+8.21726900e-003,+8.12729369e+000,+3.01271800e+001,+9.39650230e+000,+5.03781451e-002,+9.36216335e-004,+9.02526474e-001,-1.79879282e-001,+1.24861368e-001,-1.79879282e-001,+1.24861368e-001,+2.18967846e-001,+2.18967846e-001
+2.36443576e+012,+3.06545944e+000,+8.21754117e-003,+8.13875578e+000,+9.39697405e+000,+5.03810783e-002,+3.06552722e+000,+8.20908983e-003,+8.13601401e+000,+2.99875199e+001,+9.39738976e+000,+5.03303767e-002,+9.12130526e-004,+9.23504322e-001,-6.75062838e-002,+2.08954506e-001,-6.75062838e-002,+2.08954506e-001,+2.19588442e-001,+2.19588442e-001
+2.36932096e+012,+3.06560903e+000,+8.18430867e-003,+8.12258950e+000,+9.39789177e+000,+5.01797812e-002,+3.06568424e+000,+8.20486926e-003,+8.14863232e+000,+2.98261678e+001,+9.39835251e+000,+5.03070767e-002,+1.05573274e-003,+8.28773012e-001,+7.38106400e-002,+2.07370382e-001,+7.38106400e-002,+2.07370382e-001,+2.20114711e-001,+2.20114711e-001
+2.37420616e+012,+3.06577928e+000,+8.16278701e-003,+8.11793371e+000,+9.39893598e+000,+5.00506066e-002,+3.06585211e+000,+8.20742369e-003,+8.16797578e+000,+2.96501499e+001,+9.39938180e+000,+5.03254945e-002,+1.01065314e-003,+9.91942256e-001,+1.85290635e-001,+1.19091017e-001,+1.85290635e-001,+1.19091017e-001,+2.20261866e-001,+2.20261866e-001
+2.37909135e+012,+3.06596887e+000,+8.15937538e-003,+8.13123741e+000,+9.40009856e+000,+5.00327819e-002,+3.06602777e+000,+8.21788354e-003,+8.19521331e+000,+2.94722458e+001,+9.40045877e+000,+5.03925184e-002,+1.05837781e-003,+1.06018060e+000,+2.18940363e-001,-1.96121679e-002,+2.18940363e-001,-1.96121679e-002,+2.19817014e-001,+2.19817014e-001
+2.38397655e+012,+3.06617282e+000,+8.17672704e-003,+8.16526133e+000,+9.40134889e+000,+5.01425164e-002,+3.06620694e+000,+8.23555681e-003,+8.22970197e+000,+2.93083244e+001,+9.40155715e+000,+5.05038429e-002,+1.10318798e-003,+1.11580585e+000,+1.59690377e-001,-1.49418419e-001,+1.59690377e-001,-1.49418419e-001,+2.18693576e-001,+2.18693576e-001
+2.38886175e+012,+3.06638254e+000,+8.21268048e-003,+8.21797002e+000,+9.40263445e+000,+5.03664401e-002,+3.06638485e+000,+8.25831342e-003,+8.26935314e+000,+2.91735850e+001,+9.40264787e+000,+5.06463344e-002,+1.01134931e-003,+1.26974438e+000,+3.34503887e-002,-2.14374270e-001,+3.34503887e-002,-2.14374270e-001,+2.16968330e-001,+2.16968330e-001
+2.39374695e+012,+3.06658737e+000,+8.26031744e-003,+8.28254081e+000,+9.40388986e+000,+5.06619703e-002,+3.06655721e+000,+8.28337811e-003,+8.31141341e+000,+2.90786143e+001,+9.40370452e+000,+5.08029058e-002,+1.09382665e-003,+1.24896295e+000,-1.04602670e-001,-1.87695597e-001,-1.04602670e-001,-1.87695597e-001,+2.14875210e-001,+2.14875210e-001
+2.39863214e+012,+3.06677715e+000,+8.30976929e-003,+8.34913003e+000,+9.40505303e+000,+5.09684211e-002,+3.06672095e+000,+8.30827136e-003,+8.35340395e+000,+2.90266326e+001,+9.40470837e+000,+5.09582997e-002,+1.13687449e-003,+1.23566751e+000,-1.95838691e-001,-8.30957483e-002,-1.95838691e-001,-8.30957482e-002,+2.12738563e-001,+2.12738563e-001
+2.40351734e+012,+3.06694504e+000,+8.35152921e-003,+8.40817755e+000,+9.40608215e+000,+5.12273622e-002,+3.06687481e+000,+8.33160130e-003,+8.39392144e+000,+2.90130288e+001,+9.40565166e+000,+5.11039562e-002,+1.16575370e-003,+1.20636451e+000,-2.03956685e-001,+5.35194118e-002,-2.03956685e-001,+5.35194118e-002,+2.10861701e-001,+2.10861701e-001
+2.40840254e+012,+3.06708922e+000,+8.37988856e-003,+8.45387708e+000,+9.40696609e+000,+5.14037318e-002,+3.06701949e+000,+8.35348749e-003,+8.43307697e+000,+2.90272004e+001,+9.40653875e+000,+5.12406178e-002,+1.18234998e-003,+1.16029642e+000,-1.28356942e-001,+1.65472744e-001,-1.28356942e-001,+1.65472744e-001,+2.09419993e-001,+2.09419993e-001
+2.41328774e+012,+3.06721295e+000,+8.39482304e-003,+8.48612181e+000,+9.40772483e+000,+5.14974199e-002,+3.06715747e+000,+8.37553608e-003,+8.47248641e+000,+2.90556455e+001,+9.40738479e+000,+5.13781761e-002,+1.26906032e-003,+1.00871898e+000,-1.73365942e-003,+2.08400716e-001,-1.73365943e-003,+2.08400716e-001,+2.08407927e-001,+2.08407927e-001
+2.41817294e+012,+3.06732340e+000,+8.40159671e-003,+8.51016139e+000,+9.40840228e+000,+5.15408285e-002,+3.06729245e+000,+8.40041947e-003,+8.51485958e+000,+2.90849923e+001,+9.40821242e+000,+5.15330865e-002,+1.11035330e-003,+1.13152743e+000,+1.24206599e-001,+1.66414290e-001,+1.24206599e-001,+1.66414290e-001,+2.07655954e-001,+2.07655954e-001
+2.42305813e+012,+3.06742990e+000,+8.40864770e-003,+8.53451017e+000,+9.40905551e+000,+5.15858748e-002,+3.06742856e+000,+8.43120092e-003,+8.56332514e+000,+2.91041646e+001,+9.40904690e+000,+5.17242130e-002,+1.31520243e-003,+8.03741167e-001,+1.98801797e-001,+5.73089968e-002,+1.98801797e-001,+5.73089967e-002,+2.06897259e-001,+2.06897259e-001
+2.42794333e+012,+3.06754210e+000,+8.42492936e-003,+8.56827553e+000,+9.40974357e+000,+5.16876510e-002,+3.06756944e+000,+8.47057588e-003,+8.62066254e+000,+2.91055369e+001,+9.40991051e+000,+5.19681594e-002,+9.79990207e-004,+1.14932960e+000,+1.91977871e-001,-7.42906980e-002,+1.91977871e-001,-7.42906980e-002,+2.05850943e-001,+2.05850943e-001
+2.43282853e+012,+3.06766828e+000,+8.45765752e-003,+8.61886750e+000,+9.41051713e+000,+5.18905754e-002,+3.06771737e+000,+8.52019121e-003,+8.68860398e+000,+2.90853038e+001,+9.41081725e+000,+5.22750771e-002,+1.03543567e-003,+1.04410806e+000,+1.06691673e-001,-1.74221521e-001,+1.06691673e-001,-1.74221521e-001,+2.04294522e-001,+2.04294522e-001
+2.43771373e+012,+3.06781381e+000,+8.51087247e-003,+8.69051263e+000,+9.41140914e+000,+5.22195442e-002,+3.06787266e+000,+8.58016956e-003,+8.76733769e+000,+2.90433320e+001,+9.41176903e+000,+5.26457352e-002,+9.97411093e-004,+1.03723660e+000,-2.13109668e-002,-2.00984967e-001,-2.13109668e-002,-2.00984967e-001,+2.02111638e-001,+2.02111638e-001
+2.44259893e+012,+3.06797993e+000,+8.58481969e-003,+8.78358784e+000,+9.41242718e+000,+5.26761091e-002,+3.06803345e+000,+8.64892654e-003,+8.85530515e+000,+2.89826646e+001,+9.41275442e+000,+5.30703918e-002,+9.96753253e-004,+1.01124095e+000,-1.37885776e-001,-1.43918508e-001,-1.37885776e-001,-1.43918508e-001,+1.99311375e-001,+1.99311375e-001
+2.44748412e+012,+3.06816298e+000,+8.67599983e-003,+8.89463287e+000,+9.41354882e+000,+5.32387630e-002,+3.06819603e+000,+8.72332639e-003,+8.94934327e+000,+2.89087246e+001,+9.41375080e+000,+5.35297508e-002,+9.03010309e-004,+1.09440230e+000,-1.93943256e-001,-2.84694703e-002,-1.93943256e-001,-2.84694703e-002,+1.96021675e-001,+1.96021675e-001
+2.45236932e+012,+3.06835452e+000,+8.77774296e-003,+9.01690187e+000,+9.41472244e+000,+5.38664547e-002,+3.06835574e+000,+8.79917040e-003,+9.04517062e+000,+2.88282116e+001,+9.41472951e+000,+5.39979700e-002,+1.04576269e-003,+9.55927724e-001,-1.67336004e-001,+9.50815322e-002,-1.67336004e-001,+9.50815321e-002,+1.92462558e-001,+1.92462558e-001
+2.45725452e+012,+3.06854277e+000,+8.88121614e-003,+9.14136797e+000,+9.41587585e+000,+5.45047831e-002,+3.06850806e+000,+8.87194233e-003,+9.13814434e+000,+2.87477209e+001,+9.41566300e+000,+5.44472531e-002,+9.83395535e-004,+1.03246798e+000,-7.21703239e-002,+1.74576473e-001,-7.21703238e-002,+1.74576473e-001,+1.88906063e-001,+1.88906063e-001
+2.46213972e+012,+3.06871531e+000,+8.97682146e-003,+9.25814313e+000,+9.41693307e+000,+5.50946189e-002,+3.06864984e+000,+8.93765491e-003,+9.22413047e+000,+2.86722473e+001,+9.41653195e+000,+5.48530666e-002,+9.91840604e-004,+1.05590082e+000,+4.91127595e-002,+1.79014380e-001,+4.91127595e-002,+1.79014380e-001,+1.85629231e-001,+1.85629231e-001
+2.46702491e+012,+3.06886263e+000,+9.05593595e-003,+9.35826819e+000,+9.41783586e+000,+5.55828469e-002,+3.06878013e+000,+8.99358727e-003,+9.30027199e+000,+2.86038966e+001,+9.41733060e+000,+5.51986838e-002,+1.05655624e-003,+1.08396965e+000,+1.45901132e-001,+1.10238127e-001,+1.45901132e-001,+1.10238127e-001,+1.82864936e-001,+1.82864936e-001
+2.47191011e+012,+3.06898117e+000,+9.11279513e-003,+9.43567319e+000,+9.41856237e+000,+5.59339933e-002,+3.06890058e+000,+9.03871086e-003,+9.36544309e+000,+2.85412092e+001,+9.41806906e+000,+5.54778100e-002,+1.13489833e-003,+1.17482661e+000,+1.80754135e-001,-8.24005528e-004,+1.80754135e-001,-8.24005511e-004,+1.80756013e-001,+1.80756013e-001
+2.47679531e+012,+3.06907459e+000,+9.14601906e-003,+9.48878985e+000,+9.41913516e+000,+5.61396293e-002,+3.06901214e+000,+9.07353309e-003,+9.42010417e+000,+2.84793931e+001,+9.41875318e+000,+5.56935664e-002,+1.24870727e-003,+1.26051172e+000,+1.42500371e-001,-1.08858742e-001,+1.42500371e-001,-1.08858742e-001,+1.79322563e-001,+1.79322563e-001
+2.48168051e+012,+3.06915284e+000,+9.15907624e-003,+9.52107866e+000,+9.41961527e+000,+5.62212097e-002,+3.06911245e+000,+9.09940650e-003,+9.46559890e+000,+2.84114745e+001,+9.41936840e+000,+5.58542035e-002,+1.51537365e-003,+1.09607642e+000,+4.81074612e-002,-1.71849521e-001,+4.81074612e-002,-1.71849521e-001,+1.78456117e-001,+1.78456117e-001
+2.48656571e+012,+3.06922960e+000,+9.15924335e-003,+9.53999500e+000,+9.42008642e+000,+5.62236415e-002,+3.06919663e+000,+9.11790411e-003,+9.50351187e+000,+2.83300704e+001,+9.41988482e+000,+5.59692811e-002,+1.31028831e-003,+1.39620292e+000,-6.47402488e-002,-1.65755064e-001,-6.47402488e-002,-1.65755064e-001,+1.77949546e-001,+1.77949546e-001
+2.49145090e+012,+3.06931921e+000,+9.15530723e-003,+9.55462982e+000,+9.42063662e+000,+5.62011208e-002,+3.06925966e+000,+9.13037663e-003,+9.53520835e+000,+2.82293268e+001,+9.42027151e+000,+5.60469934e-002,+1.39541436e-003,+1.21910102e+000,-1.51272685e-001,-9.29694705e-002,-1.51272685e-001,-9.29694705e-002,+1.77557730e-001,+1.77557730e-001
+2.49633610e+012,+3.06943419e+000,+9.15484329e-003,+9.57287926e+000,+9.42134243e+000,+5.62003780e-002,+3.06929816e+000,+9.13768746e-003,+9.56155479e+000,+2.81065941e+001,+9.42050768e+000,+5.60925746e-002,+1.16297205e-003,+1.32030940e+000,-1.76180070e-001,+1.77329627e-002,-1.76180070e-001,+1.77329627e-002,+1.77070254e-001,+1.77070254e-001
+2.50122130e+012,+3.06958309e+000,+9.16199798e-003,+9.59910891e+000,+9.42225638e+000,+5.62470280e-002,+3.06933665e+000,+9.14499829e-003,+9.58793118e+000,+2.79635327e+001,+9.42074386e+000,+5.61381569e-002,+1.15034586e-003,+1.20458834e+000,-1.28194407e-001,+1.21133932e-001,-1.28194407e-001,+1.21133932e-001,+1.76372434e-001,+1.76372434e-001
