freq,ref_ind,kappa,alpha,epsilon_r,epsilon_i,ref_ind_S,kappa_S,alpha_S,alpha_max,epsilonS_r,epsilonS_i,delta_N,delta_A,H_measure_r,H_measure_i,H_calc_r,H_calc_i,T_measure,T_calc
+2.04201270e+012,+3.05758666e+000,+6.58000228e-003,+5.62824627e+000,+9.34879291e+000,+4.02378544e-002,+3.05761001e+000,+6.62548833e-003,+5.67107634e+000,+3.48973628e+001,+9.34893509e+000,+4.05163189e-002,+5.89899107e-004,+4.87902065e-001,+2.57777198e-001,+1.89780182e-001,+2.57777198e-001,+1.89780182e-001,+3.20102486e-001,+3.20102486e-001
+2.04689790e+012,+3.05769886e+000,+6.62357707e-003,+5.67907212e+000,+9.34947847e+000,+4.05058082e-002,+3.05771798e+000,+6.64950755e-003,+5.70525191e+000,+3.49223578e+001,+9.34959506e+000,+4.06646376e-002,+6.93891949e-004,+3.46660086e-001,+3.17657281e-001,-3.04067573e-003,+3.17657281e-001,-3.04067571e-003,+3.17671834e-001,+3.17671834e-001
+2.05178310e+012,+3.05781256e+000,+6.67072914e-003,+5.73315078e+000,+9.35017317e+000,+4.07956787e-002,+3.05783004e+000,+6.67334846e-003,+5.73937249e+000,+3.49523210e+001,+9.35028002e+000,+4.08119308e-002,+5.52431458e-004,+4.67345023e-001,+2.50081028e-001,-1.91706508e-001,+2.50081028e-001,-1.91706508e-001,+3.15106182e-001,+3.15106182e-001
+2.05666830e+012,+3.05792769e+000,+6.71268530e-003,+5.78294617e+000,+9.35087668e+000,+4.10538125e-002,+3.05794639e+000,+6.69496155e-003,+5.77167013e+000,+3.49804185e+001,+9.35099128e+000,+4.09456670e-002,+6.59905060e-004,+2.92421100e-001,+8.40443012e-002,-3.01257911e-001,+8.40443012e-002,-3.01257911e-001,+3.12761528e-001,+3.12761528e-001
+2.06155349e+012,+3.05804570e+000,+6.74316118e-003,+5.82299957e+000,+9.35159802e+000,+4.12417901e-002,+3.05806712e+000,+6.71349839e-003,+5.80139796e+000,+3.50001715e+001,+9.35172944e+000,+4.10606573e-002,+5.37735144e-004,+4.07203096e-001,-1.13317629e-001,-2.89499231e-001,-1.13317629e-001,-2.89499231e-001,+3.10886940e-001,+3.10886940e-001
+2.06643869e+012,+3.05816859e+000,+6.75990597e-003,+5.85129223e+000,+9.35234942e+000,+4.13458642e-002,+3.05819202e+000,+6.72952075e-003,+5.82902372e+000,+3.50064703e+001,+9.35249313e+000,+4.11603333e-002,+4.90309321e-004,+4.39326407e-001,-2.63615382e-001,-1.62292897e-001,-2.63615382e-001,-1.62292897e-001,+3.09567528e-001,+3.09567528e-001
+2.07132389e+012,+3.05829777e+000,+6.76499387e-003,+5.86953952e+000,+9.35313947e+000,+4.13787313e-002,+3.05832036e+000,+6.74485050e-003,+5.85611374e+000,+3.49961788e+001,+9.35327793e+000,+4.12558272e-002,+6.83985411e-004,+1.91351556e-001,-3.07327532e-001,+2.92569551e-002,-3.07327532e-001,+2.92569551e-002,+3.08716993e-001,+3.08716993e-001
+2.07620909e+012,+3.05843325e+000,+6.76397815e-003,+5.88249941e+000,+9.35396817e+000,+4.13743513e-002,+3.05845088e+000,+6.76211678e-003,+5.88495186e+000,+3.49682977e+001,+9.35407604e+000,+4.13632040e-002,+5.29831386e-004,+4.61509762e-001,-2.26997271e-001,+2.08339394e-001,-2.26997271e-001,+2.08339394e-001,+3.08112097e-001,+3.08112097e-001
+2.08109428e+012,+3.05857335e+000,+6.76430734e-003,+5.89662755e+000,+9.35482518e+000,+4.13782603e-002,+3.05858183e+000,+6.78411779e-003,+5.91799095e+000,+3.49237501e+001,+9.35487679e+000,+4.14995588e-002,+5.64736730e-004,+4.78217526e-001,-5.50103637e-002,+3.02493098e-001,-5.50103636e-002,+3.02493098e-001,+3.07454411e-001,+3.07454411e-001
+2.08597948e+012,+3.05871495e+000,+6.77348226e-003,+5.91848620e+000,+9.35569125e+000,+4.14363029e-002,+3.05871123e+000,+6.81314304e-003,+5.95726200e+000,+3.48648951e+001,+9.35566799e+000,+4.16788743e-002,+6.67529846e-004,+4.16592803e-001,+1.38436543e-001,+2.73391490e-001,+1.38436543e-001,+2.73391490e-001,+3.06443442e-001,+3.06443442e-001
+2.09086468e+012,+3.05885406e+000,+6.79736620e-003,+5.95326484e+000,+9.35654198e+000,+4.15843025e-002,+3.05883715e+000,+6.85039905e-003,+6.00386555e+000,+3.47948718e+001,+9.35643776e+000,+4.19085101e-002,+6.15682947e-004,+5.04994817e-001,+2.74006751e-001,+1.33609355e-001,+2.74006751e-001,+1.33609355e-001,+3.04846124e-001,+3.04846124e-001
+2.09574988e+012,+3.05898670e+000,+6.83894143e-003,+6.00367181e+000,+9.35735287e+000,+4.18404618e-002,+3.05895800e+000,+6.89564984e-003,+6.05764489e+000,+3.47168771e+001,+9.35717649e+000,+4.21870065e-002,+6.79203526e-004,+4.58369128e-001,+2.96878338e-001,-5.83035414e-002,+2.96878338e-001,-5.83035414e-002,+3.02549253e-001,+3.02549253e-001
+2.10063508e+012,+3.05910968e+000,+6.89768882e-003,+6.06935891e+000,+9.35810448e+000,+4.22015733e-002,+3.05907284e+000,+6.94713346e-003,+6.11709769e+000,+3.46334888e+001,+9.35787837e+000,+4.25035745e-002,+6.11783883e-004,+5.35514044e-001,+1.99886151e-001,-2.23151130e-001,+1.99886151e-001,-2.23151130e-001,+2.99584546e-001,+2.99584546e-001
+2.10552027e+012,+3.05922133e+000,+6.96965919e-003,+6.14694856e+000,+9.35878657e+000,+4.26434601e-002,+3.05918146e+000,+7.00175877e-003,+6.17953410e+000,+3.45461592e+001,+9.35854216e+000,+4.28393012e-002,+6.21903437e-004,+5.28461673e-001,+2.52769214e-002,-2.95040895e-001,+2.52769215e-002,-2.95040895e-001,+2.96121685e-001,+2.96121685e-001
+2.11040547e+012,+3.05932180e+000,+7.04818580e-003,+6.23062850e+000,+9.35940023e+000,+4.31253370e-002,+3.05928439e+000,+7.05553831e-003,+6.24144603e+000,+3.44550018e+001,+9.35917118e+000,+4.31697964e-002,+6.61335394e-004,+4.81584536e-001,-1.54870329e-001,-2.48056727e-001,-1.54870329e-001,-2.48056727e-001,+2.92432828e-001,+2.92432828e-001
+2.11529067e+012,+3.05941302e+000,+7.12506207e-003,+6.31316754e+000,+9.35995726e+000,+4.35970153e-002,+3.05938278e+000,+7.10417927e-003,+6.29902202e+000,+3.43589491e+001,+9.35977253e+000,+4.34688074e-002,+7.17024884e-004,+3.86361906e-001,-2.69266259e-001,-1.04518096e-001,-2.69266259e-001,-1.04518096e-001,+2.88839662e-001,+2.88839662e-001
+2.12017587e+012,+3.05949811e+000,+7.19192047e-003,+6.38712437e+000,+9.36047696e+000,+4.40073342e-002,+3.05947823e+000,+7.14373845e-003,+6.34872613e+000,+3.42562759e+001,+9.36035601e+000,+4.37122245e-002,+5.84361410e-004,+4.99781741e-001,-2.75200983e-001,+7.65807168e-002,-2.75200983e-001,+7.65807168e-002,+2.85657465e-001,+2.85657465e-001
+2.12506106e+012,+3.05958068e+000,+7.24154646e-003,+6.44601550e+000,+9.36098151e+000,+4.43121913e-002,+3.05957255e+000,+7.17124246e-003,+6.38785401e+000,+3.41453873e+001,+9.36093278e+000,+4.38818732e-002,+5.45774236e-004,+4.98164271e-001,-1.73156958e-001,+2.24029922e-001,-1.73156958e-001,+2.24029922e-001,+2.83147908e-001,+2.83147908e-001
+2.12994626e+012,+3.05966412e+000,+7.26894218e-003,+6.48527610e+000,+9.36149168e+000,+4.44810431e-002,+3.05966760e+000,+7.18517718e-003,+6.41497974e+000,+3.40257047e+001,+9.36151419e+000,+4.39685076e-002,+6.54775243e-004,+3.57311894e-001,-4.63217766e-003,+2.81447696e-001,-4.63217767e-003,+2.81447696e-001,+2.81485813e-001,+2.81485813e-001
+2.13483146e+012,+3.05975117e+000,+7.27205450e-003,+6.50293373e+000,+9.36202437e+000,+4.45013546e-002,+3.05976506e+000,+7.18575926e-003,+6.43021388e+000,+3.38984634e+001,+9.36211058e+000,+4.39734702e-002,+5.69516669e-004,+4.82685372e-001,+1.64404092e-001,+2.27564867e-001,+1.64404092e-001,+2.27564867e-001,+2.80739157e-001,+2.80739157e-001
+2.13971666e+012,+3.05984393e+000,+7.25213453e-003,+6.49996067e+000,+9.36259228e+000,+4.43807996e-002,+3.05986625e+000,+7.17492386e-003,+6.43521003e+000,+3.37672507e+001,+9.36273002e+000,+4.39086148e-002,+6.27252213e-004,+4.92448322e-001,+2.68128155e-001,+8.36031256e-002,+2.68128155e-001,+8.36031257e-002,+2.80859734e-001,+2.80859734e-001
+2.14460186e+012,+3.05994390e+000,+7.21368772e-003,+6.48026290e+000,+9.36320462e+000,+4.41469595e-002,+3.05997198e+000,+7.15600562e-003,+6.43289572e+000,+3.36381244e+001,+9.36337730e+000,+4.37943534e-002,+6.75822287e-004,+5.35374156e-001,+2.65399525e-001,-9.43871521e-002,+2.65399525e-001,-9.43871521e-002,+2.81683940e-001,+2.81683940e-001
+2.14948705e+012,+3.06005205e+000,+7.16394623e-003,+6.45023832e+000,+9.36386721e+000,+4.38440967e-002,+3.06008237e+000,+7.13315877e-003,+6.42696427e+000,+3.35191527e+001,+9.36405323e+000,+4.36561068e-002,+6.46552877e-004,+6.48716893e-001,+1.56006594e-001,-2.36052822e-001,+1.56006594e-001,-2.36052822e-001,+2.82946978e-001,+2.82946978e-001
+2.15437225e+012,+3.06016854e+000,+7.11180190e-003,+6.41784180e+000,+9.36458092e+000,+4.35266249e-002,+3.06019694e+000,+7.11063881e-003,+6.42123445e+000,+3.34192345e+001,+9.36475477e+000,+4.35199103e-002,+9.12735418e-004,+4.13753396e-001,-1.77021210e-002,-2.83764536e-001,-1.77021209e-002,-2.83764536e-001,+2.84316157e-001,+2.84316157e-001
