freq,ref_ind_s,ref_ind_f,bf,delta_N_s,delta_N_f,bf_err
+1.71958964e+012,3.11E+000,3.06E+000,0.04981451,5.02E-004,2.67E-004,0.0005682019
+1.72447484e+012,3.11E+000,3.06E+000,0.04981042,4.02E-004,2.36E-004,0.0004657772
+1.72936004e+012,3.11E+000,3.06E+000,0.04981647,4.73E-004,2.43E-004,0.00053206
+1.73424524e+012,3.11E+000,3.06E+000,0.04983689,3.89E-004,2.87E-004,0.00048291
+1.73913043e+012,3.11E+000,3.06E+000,0.04986903,3.93E-004,2.40E-004,0.0004603018
+1.74401563e+012,3.11E+000,3.06E+000,0.04990486,4.61E-004,2.66E-004,0.0005318319
+1.74890083e+012,3.11E+000,3.06E+000,0.04993492,4.29E-004,2.84E-004,0.0005146388
+1.75378603e+012,3.11E+000,3.06E+000,0.04995222,3.93E-004,2.66E-004,0.0004746531
+1.75867123e+012,3.11E+000,3.06E+000,0.04995455,3.73E-004,3.53E-004,0.0005131942
+1.76355642e+012,3.11E+000,3.06E+000,0.04994469,4.15E-004,2.82E-004,0.0005015309
+1.76844162e+012,3.11E+000,3.06E+000,0.04992908,3.75E-004,3.00E-004,0.0004807364
+1.77332682e+012,3.11E+000,3.06E+000,0.04991544,3.78E-004,3.61E-004,0.0005222487
+1.77821202e+012,3.11E+000,3.06E+000,0.0499103,3.19E-004,3.07E-004,0.0004423314
+1.78309722e+012,3.11E+000,3.06E+000,0.04991673,3.37E-004,3.43E-004,0.0004807368
+1.78798241e+012,3.11E+000,3.06E+000,0.04993302,4.26E-004,3.06E-004,0.0005242885
+1.79286761e+012,3.11E+000,3.06E+000,0.04995326,3.60E-004,2.89E-004,0.0004614948
+1.79775281e+012,3.11E+000,3.06E+000,0.04997,4.33E-004,3.07E-004,0.0005312001
+1.80263801e+012,3.11E+000,3.06E+000,0.04997785,3.91E-004,2.70E-004,0.0004751366
+1.80752320e+012,3.11E+000,3.06E+000,0.04997622,3.58E-004,2.47E-004,0.0004349321
+1.81240840e+012,3.11E+000,3.06E+000,0.0499699,4.34E-004,2.40E-004,0.0004957147
+1.81729360e+012,3.11E+000,3.06E+000,0.0499676,3.63E-004,2.40E-004,0.0004351336
+1.82217880e+012,3.11E+000,3.06E+000,0.04997899,3.43E-004,2.27E-004,0.00041122
+1.82706400e+012,3.11E+000,3.06E+000,0.05001134,3.91E-004,2.61E-004,0.0004705013
+1.83194919e+012,3.11E+000,3.06E+000,0.05006672,3.81E-004,2.58E-004,0.0004603681
+1.83683439e+012,3.11E+000,3.06E+000,0.05014057,3.67E-004,2.44E-004,0.0004404407
+1.84171959e+012,3.11E+000,3.06E+000,0.05022242,3.68E-004,3.07E-004,0.0004790373
+1.84660479e+012,3.11E+000,3.06E+000,0.05029875,3.82E-004,2.66E-004,0.0004653594
+1.85148999e+012,3.11E+000,3.06E+000,0.05035685,3.81E-004,2.83E-004,0.0004750579
+1.85637518e+012,3.11E+000,3.06E+000,0.05038846,5.26E-004,2.76E-004,0.0005940225
+1.86126038e+012,3.11E+000,3.06E+000,0.05039205,3.95E-004,2.77E-004,0.000482338
+1.86614558e+012,3.11E+000,3.06E+000,0.050373,4.06E-004,3.31E-004,0.0005239082
+1.87103078e+012,3.11E+000,3.06E+000,0.0503418,4.92E-004,2.76E-004,0.0005640541
+1.87591597e+012,3.11E+000,3.06E+000,0.05031088,4.13E-004,2.77E-004,0.0004967871
+1.88080117e+012,3.11E+000,3.06E+000,0.05029079,5.02E-004,2.40E-004,0.0005563009
+1.88568637e+012,3.11E+000,3.06E+000,0.05028731,4.31E-004,2.19E-004,0.0004829185
+1.89057157e+012,3.11E+000,3.06E+000,0.05030046,4.55E-004,2.18E-004,0.0005049912
+1.89545677e+012,3.11E+000,3.06E+000,0.05032566,4.74E-004,1.97E-004,0.0005130982
+1.90034196e+012,3.11E+000,3.06E+000,0.05035615,4.42E-004,1.97E-004,0.0004840311
+1.90522716e+012,3.11E+000,3.06E+000,0.05038542,4.47E-004,2.10E-004,0.0004936491
+1.91011236e+012,3.11E+000,3.06E+000,0.05040888,3.66E-004,2.37E-004,0.0004356475
+1.91499756e+012,3.11E+000,3.06E+000,0.05042462,3.37E-004,2.91E-004,0.00044553
+1.91988276e+012,3.11E+000,3.06E+000,0.05043345,3.31E-004,2.99E-004,0.0004457364
+1.92476795e+012,3.11E+000,3.06E+000,0.05043866,3.61E-004,3.43E-004,0.0004983265
+1.92965315e+012,3.11E+000,3.06E+000,0.05044496,3.31E-004,3.15E-004,0.0004566977
+1.93453835e+012,3.11E+000,3.06E+000,0.05045697,3.42E-004,2.94E-004,0.0004510545
+1.93942355e+012,3.11E+000,3.06E+000,0.05047744,4.85E-004,3.13E-004,0.0005775184
+1.94430874e+012,3.11E+000,3.06E+000,0.05050651,4.40E-004,2.65E-004,0.0005139891
+1.94919394e+012,3.11E+000,3.06E+000,0.05054192,5.11E-004,3.14E-004,0.0005994341
+1.95407914e+012,3.11E+000,3.06E+000,0.05058011,5.10E-004,2.74E-004,0.0005789137
+1.95896434e+012,3.11E+000,3.06E+000,0.05061715,4.79E-004,3.04E-004,0.0005668266
+1.96384954e+012,3.11E+000,3.06E+000,0.05064946,6.39E-004,3.17E-004,0.0007136846
+1.96873473e+012,3.11E+000,3.06E+000,0.05067431,5.42E-004,3.46E-004,0.0006428937
+1.97361993e+012,3.11E+000,3.06E+000,0.05069048,5.39E-004,3.93E-004,0.0006669154
+1.97850513e+012,3.11E+000,3.06E+000,0.05069893,5.60E-004,3.59E-004,0.000665064
+1.98339033e+012,3.12E+000,3.06E+000,0.05070306,5.88E-004,3.79E-004,0.0006995459
+1.98827553e+012,3.12E+000,3.06E+000,0.05070818,5.91E-004,3.87E-004,0.0007065407
+1.99316072e+012,3.12E+000,3.06E+000,0.05072005,5.80E-004,3.67E-004,0.0006866167
+1.99804592e+012,3.12E+000,3.06E+000,0.05074326,4.74E-004,3.56E-004,0.0005929504
+2.00293112e+012,3.12E+000,3.06E+000,0.05077977,4.62E-004,3.35E-004,0.0005707255
+2.00781632e+012,3.12E+000,3.06E+000,0.0508281,5.33E-004,3.44E-004,0.0006339818
+2.01270151e+012,3.12E+000,3.06E+000,0.05088309,4.78E-004,3.00E-004,0.0005640349
+2.01758671e+012,3.12E+000,3.06E+000,0.05093651,5.83E-004,3.40E-004,0.000675126
+2.02247191e+012,3.12E+000,3.06E+000,0.05097902,4.63E-004,3.13E-004,0.0005588314
+2.02735711e+012,3.12E+000,3.07E+000,0.05100304,4.74E-004,3.22E-004,0.0005731291
+2.03224231e+012,3.12E+000,3.07E+000,0.05100561,5.53E-004,3.60E-004,0.0006595128
+2.03712750e+012,3.12E+000,3.07E+000,0.05098976,4.36E-004,3.75E-004,0.0005751975
+2.04201270e+012,3.12E+000,3.07E+000,0.05096372,4.92E-004,3.79E-004,0.0006210385
+2.04689790e+012,3.12E+000,3.07E+000,0.05093829,4.75E-004,4.32E-004,0.0006426349
+2.05178310e+012,3.12E+000,3.07E+000,0.05092377,5.07E-004,3.46E-004,0.0006134164
+2.05666830e+012,3.12E+000,3.07E+000,0.05092745,5.82E-004,2.99E-004,0.0006541845
+2.06155349e+012,3.12E+000,3.07E+000,0.05095189,5.20E-004,2.59E-004,0.0005815754
+2.06643869e+012,3.12E+000,3.07E+000,0.05099439,4.59E-004,2.73E-004,0.0005341224
+2.07132389e+012,3.12E+000,3.07E+000,0.05104754,4.23E-004,3.21E-004,0.000530701
+2.07620909e+012,3.12E+000,3.07E+000,0.0511013,4.64E-004,3.60E-004,0.0005871042
+2.08109428e+012,3.12E+000,3.07E+000,0.05114587,4.53E-004,3.94E-004,0.0006007136
+2.08597948e+012,3.12E+000,3.07E+000,0.05117461,5.76E-004,4.02E-004,0.0007026182
+2.09086468e+012,3.12E+000,3.07E+000,0.05118547,3.92E-004,4.23E-004,0.000576784
+2.09574988e+012,3.12E+000,3.07E+000,0.05118095,4.53E-004,4.83E-004,0.0006622342
+2.10063508e+012,3.12E+000,3.07E+000,0.05116675,3.76E-004,5.88E-004,0.0006975874
+2.10552027e+012,3.12E+000,3.07E+000,0.05115024,3.68E-004,4.71E-004,0.0005975075
+2.11040547e+012,3.12E+000,3.07E+000,0.05113885,4.08E-004,4.40E-004,0.0006006626
+2.11529067e+012,3.12E+000,3.07E+000,0.05113872,4.65E-004,4.84E-004,0.0006710062
+2.12017587e+012,3.12E+000,3.07E+000,0.05115329,4.91E-004,3.75E-004,0.000617521
+2.12506106e+012,3.12E+000,3.07E+000,0.05118255,6.42E-004,3.98E-004,0.0007553357
+2.12994626e+012,3.12E+000,3.07E+000,0.05122351,6.22E-004,4.23E-004,0.0007522601
+2.13483146e+012,3.12E+000,3.07E+000,0.05127173,6.51E-004,3.69E-004,0.0007485829
+2.13971666e+012,3.12E+000,3.07E+000,0.05132302,7.13E-004,4.03E-004,0.0008188668
+2.14460186e+012,3.12E+000,3.07E+000,0.05137399,7.81E-004,3.31E-004,0.0008480603
+2.14948705e+012,3.12E+000,3.07E+000,0.05142131,6.96E-004,3.45E-004,0.0007765382
+2.15437225e+012,3.12E+000,3.07E+000,0.05146066,6.80E-004,3.59E-004,0.0007694384
+2.15925745e+012,3.12E+000,3.07E+000,0.05148694,6.41E-004,3.29E-004,0.0007204622
+2.16414265e+012,3.12E+000,3.07E+000,0.05149585,6.68E-004,3.22E-004,0.0007413388
+2.16902785e+012,3.12E+000,3.07E+000,0.05148652,6.69E-004,2.85E-004,0.0007267409
+2.17391304e+012,3.12E+000,3.07E+000,0.05146298,6.22E-004,3.29E-004,0.0007033434
+2.17879824e+012,3.12E+000,3.07E+000,0.05143394,6.78E-004,3.95E-004,0.0007844373
+2.18368344e+012,3.12E+000,3.07E+000,0.0514105,5.21E-004,4.62E-004,0.0006966062
+2.18856864e+012,3.12E+000,3.07E+000,0.05140293,5.21E-004,5.09E-004,0.0007280804
+2.19345383e+012,3.12E+000,3.07E+000,0.05141751,5.73E-004,5.25E-004,0.0007774946
+2.19833903e+012,3.12E+000,3.07E+000,0.0514546,5.02E-004,5.45E-004,0.0007410955
+2.20322423e+012,3.12E+000,3.07E+000,0.05150816,4.92E-004,4.62E-004,0.0006755643
+2.20810943e+012,3.12E+000,3.07E+000,0.05156727,4.40E-004,4.00E-004,0.0005948393
+2.21299463e+012,3.12E+000,3.07E+000,0.05161944,5.34E-004,3.99E-004,0.0006661917
+2.21787982e+012,3.12E+000,3.07E+000,0.05165516,5.47E-004,2.96E-004,0.0006222562
+2.22276502e+012,3.12E+000,3.07E+000,0.05167196,5.09E-004,3.41E-004,0.0006122769
+2.22765022e+012,3.12E+000,3.07E+000,0.05167613,6.03E-004,4.06E-004,0.0007270655
+2.23253542e+012,3.12E+000,3.07E+000,0.05168075,5.57E-004,4.99E-004,0.0007477719
+2.23742062e+012,3.12E+000,3.07E+000,0.05170092,7.07E-004,4.65E-004,0.0008464008
+2.24230581e+012,3.12E+000,3.07E+000,0.0517478,6.65E-004,4.49E-004,0.0008020869
+2.24719101e+012,3.12E+000,3.07E+000,0.05182357,7.09E-004,3.87E-004,0.000807761
+2.25207621e+012,3.12E+000,3.07E+000,0.05191867,6.96E-004,3.94E-004,0.0007998733
+2.25696141e+012,3.12E+000,3.07E+000,0.0520128,6.57E-004,5.00E-004,0.0008256693
+2.26184660e+012,3.12E+000,3.07E+000,0.05208042,6.48E-004,5.87E-004,0.0008742707
+2.26673180e+012,3.12E+000,3.07E+000,0.05210014,7.08E-004,7.35E-004,0.0010208546
+2.27161700e+012,3.12E+000,3.07E+000,0.05206423,8.61E-004,7.67E-004,0.0011529442
+2.27650220e+012,3.12E+000,3.07E+000,0.05198306,8.68E-004,7.57E-004,0.0011510663
+2.28138740e+012,3.12E+000,3.07E+000,0.0518811,8.39E-004,5.48E-004,0.0010020991
+2.28627259e+012,3.12E+000,3.07E+000,0.05178707,8.75E-004,4.48E-004,0.0009828444
+2.29115779e+012,3.12E+000,3.07E+000,0.05172387,8.35E-004,5.73E-004,0.001012284
+2.29604299e+012,3.12E+000,3.07E+000,0.05170219,8.02E-004,5.45E-004,0.0009697864
+2.30092819e+012,3.12E+000,3.07E+000,0.05171904,7.03E-004,6.58E-004,0.0009626534
+2.30581339e+012,3.12E+000,3.07E+000,0.05176053,7.09E-004,7.23E-004,0.0010124082
+2.31069858e+012,3.12E+000,3.07E+000,0.05180836,6.14E-004,6.49E-004,0.000893386
+2.31558378e+012,3.12E+000,3.07E+000,0.05184759,7.44E-004,5.48E-004,0.0009239252
+2.32046898e+012,3.12E+000,3.07E+000,0.05187194,7.44E-004,5.00E-004,0.0008964997
+2.32535418e+012,3.12E+000,3.07E+000,0.05188419,9.10E-004,4.66E-004,0.0010219828
+2.33023937e+012,3.12E+000,3.07E+000,0.05189202,9.09E-004,6.36E-004,0.001109966
+2.33512457e+012,3.12E+000,3.07E+000,0.05190284,9.16E-004,7.26E-004,0.0011693735
+2.34000977e+012,3.12E+000,3.07E+000,0.05192073,8.55E-004,7.81E-004,0.001158408
+2.34489497e+012,3.13E+000,3.07E+000,0.05194695,7.91E-004,7.99E-004,0.0011243418
+2.34978017e+012,3.13E+000,3.07E+000,0.05198141,8.60E-004,7.62E-004,0.0011491807
+2.35466536e+012,3.13E+000,3.07E+000,0.05202346,1.01E-003,7.77E-004,0.0012707728
+2.35955056e+012,3.13E+000,3.07E+000,0.05207156,1.10E-003,8.85E-004,0.0014105396
+2.36443576e+012,3.13E+000,3.07E+000,0.05212356,1.06E-003,7.64E-004,0.0013092619
+2.36932096e+012,3.13E+000,3.07E+000,0.05217833,9.60E-004,7.33E-004,0.0012080306
+2.37420616e+012,3.13E+000,3.07E+000,0.05223746,6.94E-004,5.80E-004,0.0009044255
+2.37909135e+012,3.13E+000,3.07E+000,0.05230526,8.25E-004,6.29E-004,0.0010372589
+2.38397655e+012,3.13E+000,3.07E+000,0.05238665,1.14E-003,7.44E-004,0.0013576968
+2.38886175e+012,3.13E+000,3.07E+000,0.05248355,1.25E-003,9.30E-004,0.0015548875
+2.39374695e+012,3.13E+000,3.07E+000,0.05259148,1.36E-003,9.77E-004,0.0016732425
+2.39863214e+012,3.13E+000,3.07E+000,0.05269834,1.56E-003,9.32E-004,0.001817773
+2.40351734e+012,3.13E+000,3.07E+000,0.0527875,1.34E-003,9.67E-004,0.0016558441
+2.40840254e+012,3.13E+000,3.08E+000,0.05284418,1.18E-003,9.30E-004,0.0015027677
+2.41328774e+012,3.13E+000,3.08E+000,0.05286169,1.08E-003,8.48E-004,0.0013729242
+2.41817294e+012,3.13E+000,3.08E+000,0.05284375,1.17E-003,8.03E-004,0.0014205353
+2.42305813e+012,3.13E+000,3.08E+000,0.05280221,1.20E-003,7.44E-004,0.0014104052
+2.42794333e+012,3.13E+000,3.08E+000,0.05275209,1.24E-003,7.26E-004,0.0014325121
+2.43282853e+012,3.13E+000,3.08E+000,0.05270674,1.13E-003,7.70E-004,0.0013678727
+2.43771373e+012,3.13E+000,3.08E+000,0.05267437,1.07E-003,8.25E-004,0.0013548136
+2.44259893e+012,3.13E+000,3.08E+000,0.05265653,1.37E-003,8.79E-004,0.001626569
+2.44748412e+012,3.13E+000,3.08E+000,0.05264864,1.34E-003,8.94E-004,0.0016093136
+2.45236932e+012,3.13E+000,3.08E+000,0.05264258,1.47E-003,9.18E-004,0.0017337919
+2.45725452e+012,3.13E+000,3.08E+000,0.05263054,1.47E-003,8.18E-004,0.0016785852
+2.46213972e+012,3.13E+000,3.08E+000,0.05260901,1.43E-003,9.97E-004,0.0017449038
+2.46702491e+012,3.13E+000,3.08E+000,0.0525809,1.54E-003,1.06E-003,0.0018674861
+2.47191011e+012,3.13E+000,3.08E+000,0.05255544,1.42E-003,1.25E-003,0.001891859
+2.47679531e+012,3.13E+000,3.08E+000,0.05254529,1.30E-003,1.25E-003,0.0018031785
+2.48168051e+012,3.13E+000,3.08E+000,0.05256232,1.35E-003,1.44E-003,0.0019719746
+2.48656571e+012,3.13E+000,3.08E+000,0.05261278,1.48E-003,1.31E-003,0.001978908
+2.49145090e+012,3.13E+000,3.08E+000,0.05269385,1.30E-003,1.23E-003,0.0017888099
+2.49633610e+012,3.13E+000,3.08E+000,0.05279305,1.14E-003,1.20E-003,0.0016547731
+2.50122130e+012,3.13E+000,3.08E+000,0.05289149,1.30E-003,1.24E-003,0.001796283
