,t,y
0,1830.0,0.006537667770956546
1,1830.05,0.010964108117731186
2,1830.1,0.008413571712893031
3,1830.15,0.010924441951602581
4,1830.2,0.010532721737086526
5,1830.25,0.009147578446763838
6,1830.3,0.008622900627409003
7,1830.35,0.012152939456441025
8,1830.4,0.011083510391924456
9,1830.45,0.01378465517256977
10,1830.5,0.010475058706441054
11,1830.55,0.011029712072570419
12,1830.6,0.010252405190311897
13,1830.65,0.012168571348376567
14,1830.7,0.008283901996763099
15,1830.75,0.009284458445150356
16,1830.8,0.011485017362892869
17,1830.85,0.012730300404827588
18,1830.9,0.012713822506440486
19,1830.95,0.007622786409665849
20,1831.0,0.012157996267731619
21,1831.05,0.009435412914505115
22,1831.1,0.010022233753215204
23,1831.15,0.013825378846763492
24,1831.2,0.009499863224182725
25,1831.25,0.014168838238699522
26,1831.3,0.0112698048580544
27,1831.35,0.015434444662893121
28,1831.4,0.013887233454827452
29,1831.45,0.012200142770956823
30,1831.5,0.021232261467731384
31,1831.55,0.0159266281435384
32,1831.6,0.017840986924182012
33,1831.65,0.0177189312661179
34,1831.7,0.015737199608054198
35,1831.75,0.02234447154031116
36,1831.8,0.01837800874676354
37,1831.85,0.01906729250321515
38,1831.9,0.01875452007257028
39,1831.95,0.026566389827408443
40,1832.0,0.02119407581289323
41,1832.05,0.02312127850966661
42,1832.1,0.024878260862893242
43,1832.15,0.020921257959666484
44,1832.2,0.02151723104998915
45,1832.25,0.026304397011279512
46,1832.3,0.02021180464031147
47,1832.35,0.023190074216118184
48,1832.4,0.02545148791611851
49,1832.45,0.02137267931127962
50,1832.5,0.024660106562892636
51,1832.55,0.028358962133860466
52,1832.6,0.029643469111279686
53,1832.65,0.03239360535644131
54,1832.7,0.03763417309353834
55,1832.75,0.045191644862892844
56,1832.8,0.04948564674515055
57,1832.85,0.051458860656440564
58,1832.9,0.05978392946127986
59,1832.95,0.06669970533708636
60,1833.0,0.05439248416450493
61,1833.05,0.05534510665644099
62,1833.1,0.050914782370957035
63,1833.15,0.041742707288699776
64,1833.2,0.03501068785966588
65,1833.25,0.028874314654827593
66,1833.3,0.03127055101934406
67,1833.35,0.026413320341925228
68,1833.4,0.02623631271934368
69,1833.45,0.022545436527408924
70,1833.5,0.027837649112893104
71,1833.55,0.02918806768386073
72,1833.6,0.026094241317731637
73,1833.65,0.019288657782247753
74,1833.7,0.026803079359666526
75,1833.75,0.025267423830634073
76,1833.8,0.021197652112892484
77,1833.85,0.017770633796763136
78,1833.9,0.023423398949988794
79,1833.95,0.021869381235473107
80,1834.0,0.023744708354827893
81,1834.05,0.01880366535644118
82,1834.1,0.016112422696763495
83,1834.15,0.016539502135472617
84,1834.2,0.023716097954827653
85,1834.25,0.021328994614504992
86,1834.3,0.018004266169343808
87,1834.35,0.01594549024192471
88,1834.4,0.015358669403215508
89,1834.45,0.018489047093537714
90,1834.5,0.021459837203215315
91,1834.55,0.021697603470957283
92,1834.6,0.011481094969343353
93,1834.65,0.013053224912892958
94,1834.7,0.017344284999988524
95,1834.75,0.018459763733861045
96,1834.8,0.016752484259666467
97,1834.85,0.01621680835644046
98,1834.9,0.015955488499988846
99,1834.95,0.012117176456440504
100,1835.0,0.015075238014505388
101,1835.05,0.018470396496763186
102,1835.1,0.025655433153215057
103,1835.15,0.017886978911279883
104,1835.2,0.016747792769344017
105,1835.25,0.01303438204192453
106,1835.3,0.01768866730805385
107,1835.35,0.018480587029021223
108,1835.4,0.019994880895150224
109,1835.45,0.025846322972570057
110,1835.5,0.02482530854998899
111,1835.55,0.02103252703547298
112,1835.6,0.02090114607902116
113,1835.65,0.021429515562893187
114,1835.7,0.01994458196611859
115,1835.75,0.023470640719343905
116,1835.8,0.024773913658053814
117,1835.85,0.0272853991741826
118,1835.9,0.02540924527579591
119,1835.95,0.021310901612892508
120,1836.0,0.017915070170956504
121,1836.05,0.02398468577579571
122,1836.1,0.0218704002886998
123,1836.15,0.02013683693224788
124,1836.2,0.024221509899988725
125,1836.25,0.02574587893386049
126,1836.3,0.021802854364504576
127,1836.35,0.02201497125482721
128,1836.4,0.01918765614837703
129,1836.45,0.019864980449988856
130,1836.5,0.020575087501602418
131,1836.55,0.02062734762740881
132,1836.6,0.022177058399988958
133,1836.65,0.03175198637257015
134,1836.7,0.03377284582902096
135,1836.75,0.03332855784998934
136,1836.8,0.0318929810386992
137,1836.85,0.035301233393537856
138,1836.9,0.0317112819257952
139,1836.95,0.029693864177408713
140,1837.0,0.030852489240311698
141,1837.05,0.03692631564998905
142,1837.1,0.042623996054827806
143,1837.15,0.04484020609192463
144,1837.2,0.039511903640311985
145,1837.25,0.035890726843538445
146,1837.3,0.02825465338386035
147,1837.35,0.015211272006441234
148,1837.4,0.0029156834225698702
149,1837.45,-0.0003369614274300048
150,1837.5,-0.010247215593559567
151,1837.55,-0.01652712148388158
152,1837.6,-0.01593424400807475
153,1837.65,-0.014941628483882141
154,1837.7,-0.014920728279043338
155,1837.75,-0.01791028435001074
156,1837.8,-0.02311172428872066
157,1837.85,-0.021884591930656505
158,1837.9,-0.02770715442420446
159,1837.95,-0.0318902140967845
160,1838.0,-0.03825235565968832
161,1838.05,-0.03904298714355914
162,1838.1,-0.044834824220979286
163,1838.15,-0.050889269391945824
164,1838.2,-0.06142308799517249
165,1838.25,-0.06793547261291355
166,1838.3,-0.07551524818872046
167,1838.35,-0.08872742708065662
168,1838.4,-0.09633190989033391
169,1838.45,-0.10906747951130047
170,1838.5,-0.12143255598872038
171,1838.55,-0.12845333280162308
172,1838.6,-0.1470086769403336
