,t,y
0,1299.927265014501,-5.824532960620551e-11
1,1299.8773704971413,-7.09782554310265e-11
2,1299.8274759797816,-8.553017065939335e-11
3,1299.777581462422,-9.826309648421435e-11
4,1299.7276869450625,-1.1008652760726242e-10
5,1299.6777924277028,-1.2190995873031048e-10
6,1299.627897910343,-1.355523792569044e-10
7,1299.5780033929834,-1.4737581037995247e-10
8,1299.5281088756237,-1.6010873620477347e-10
9,1299.478214358264,-1.7193216732782154e-10
10,1299.4283198409044,-1.837555984508696e-10
11,1299.3784253235447,-1.9557902957391767e-10
12,1299.328530806185,-2.064929659951928e-10
13,1299.2786362888253,-2.1831639711824088e-10
14,1299.2287417714656,-2.3104932294306187e-10
15,1299.1788472541061,-2.410537646625641e-10
16,1299.1289527367464,-2.510582063820663e-10
17,1299.0790582193868,-2.5924365869802267e-10
18,1299.029163702027,-2.6742911101397903e-10
19,1298.9792691846674,-2.756145633299354e-10
20,1298.9293746673077,-2.828905209441188e-10
21,1298.879480149948,-2.9107597326007516e-10
22,1298.8295856325883,-2.983519308742586e-10
23,1298.7796911152286,-3.05627888488442e-10
24,1298.729796597869,-3.1290384610262544e-10
25,1298.6799020805095,-3.18360814313263e-10
26,1298.6300075631498,-3.247272772256735e-10
27,1298.58011304579,-3.301842454363111e-10
28,1298.5302185284304,-3.3564121364694865e-10
29,1298.4803240110707,-3.410981818575862e-10
30,1298.430429493711,-3.4564565536645086e-10
31,1298.3805349763513,-3.501931288753155e-10
32,1298.3306404589916,-3.529216129806343e-10
33,1298.280745941632,-3.538311076824072e-10
34,1298.2308514242723,-3.5474060238418014e-10
35,1298.1809569069126,-3.5565009708595307e-10
36,1298.131062389553,-3.574690864894989e-10
37,1298.0811678721934,-3.5837858119127185e-10
38,1298.0312733548337,-3.5837858119127185e-10
39,1297.981378837474,-3.5837858119127185e-10
40,1297.9314843201144,-3.5565009708595307e-10
41,1297.8815898027547,-3.529216129806343e-10
42,1297.831695285395,-3.501931288753155e-10
43,1297.7818007680353,-3.4564565536645086e-10
44,1297.7319062506756,-3.410981818575862e-10
45,1297.682011733316,-3.347317189451757e-10
46,1297.6321172159562,-3.2927475073453815e-10
47,1297.5822226985968,-3.2290828782212765e-10
48,1297.532328181237,-3.147228355061713e-10
49,1297.4824336638774,-3.05627888488442e-10
50,1297.4325391465177,-2.9653294147071273e-10
51,1297.382644629158,-2.856190050494376e-10
52,1297.3327501117983,-2.756145633299354e-10
53,1297.2828555944386,-2.6470062690866024e-10
54,1297.232961077079,-2.528771957856122e-10
55,1297.1830665597192,-2.4196325936433704e-10
56,1297.1331720423595,-2.2923033353951602e-10
57,1297.0832775249999,-2.155879130129221e-10
58,1297.0333830076404,-2.0103599778455524e-10
59,1296.9834884902807,-1.8739357725796132e-10
60,1296.933593972921,-1.7466065143314032e-10
61,1296.8836994555613,-1.610182309065464e-10
62,1296.8338049382016,-1.4555682097640662e-10
63,1296.783910420842,-1.3009541104626684e-10
64,1296.7340159034823,-1.1645299051967291e-10
65,1296.6841213861226,-1.0099158058953313e-10
66,1296.6342268687629,-8.553017065939335e-11
67,1296.5843323514032,-7.09782554310265e-11
68,1296.5344378340435,-5.3697856097340866e-11
69,1296.484543316684,-3.8236446167201086e-11
70,1296.4346487993243,-2.1865541535288377e-11
71,1296.3847542819647,-5.49463690337567e-12
72,1296.334859764605,1.087626772853704e-11
73,1296.2849652472453,2.633767765867682e-11
74,1296.2350707298856,3.9070603483497815e-11
75,1296.185176212526,5.3622518711864666e-11
