freq,ref_ind,epsilon_r,epsilon_i
+2.97997069e+011,2.106,4.435236,0
+3.37078652e+011,2.107,4.439449,0
+7.08353688e+011,2.108,4.443664,0
+9.91695164e+011,2.109,4.447881,0
+1.22129946e+012,2.11,4.4521,0
+1.55837811e+012,2.113,4.464769,0
+1.82706400e+012,2.114,4.468996,0
+1.96873473e+012,2.115,4.473225,0
