,freq,alpha_0deg,alpha_err_0deg,alpha_180deg,alpha_err_180deg,alpha_90deg,alpha_err_90deg
0,297997069000.0,0.282222079,0.164814593,0.269726236,0.0931980812,0.209229376,0.101724714
1,302882267000.0,0.558293881,0.155615404,0.370767712,0.0990555152,0.442767735,0.106320381
2,307767465000.0,-0.0369723354,0.0988478995,0.0141977618,0.0597114668,-0.609623212,0.0637266017
3,312652662000.0,0.491964466,0.122969176,0.295211781,0.0794485673,0.846585416,0.0734724132
4,317537860000.0,0.534821831,0.149834558,0.432908031,0.0994854691,0.404705645,0.0865383787
5,322423058000.0,0.344801028,0.157651525,0.0428081101,0.0980764395,0.132822297,0.110558111
6,327308256000.0,1.09918162,0.137988743,1.02976884,0.0979464699,0.876667105,0.110294456
7,332193454000.0,0.375815631,0.150345425,0.401957554,0.104619532,0.419492074,0.103327509
8,337078652000.0,0.586921404,0.127388292,0.420305187,0.0816528134,0.469968661,0.078018357
9,341963850000.0,-0.0406198762,0.170058822,-0.689608047,0.109044212,-0.44598127,0.108211258
10,346849047000.0,1.10469184,0.169257935,0.803989244,0.105016398,1.29323121,0.117568131
11,351734245000.0,0.515445862,0.0944658855,0.449545232,0.0647613317,0.488877723,0.0885784815
12,356619443000.0,0.478536842,0.175114346,0.213456515,0.113413754,0.370531768,0.11844304
13,361504641000.0,1.04489182,0.144060932,1.10019267,0.0996396694,0.415899996,0.0812701384
14,366389839000.0,-0.220495831,0.184383945,-0.213245776,0.114475741,0.0868395686,0.111017518
15,371275037000.0,0.631756451,0.187943492,0.486365979,0.11431896,0.563783874,0.125529776
16,376160234000.0,0.214631861,0.0772041092,-0.237561437,0.0804456349,0.0239180766,0.0939047137
17,381045432000.0,1.75947726,0.138184446,1.64347342,0.104600079,1.6185718,0.109036118
18,385930630000.0,0.260422701,0.182589646,0.283182454,0.125403242,0.291546346,0.124920374
19,390815828000.0,0.600089906,0.187844409,0.378643384,0.122902805,0.506413451,0.121113244
20,395701026000.0,0.0435810991,0.197378905,-0.280659574,0.116611122,-0.693235788,0.131428146
21,400586224000.0,0.626406735,0.179955769,0.265607694,0.10365818,1.00001681,0.118104152
22,405471422000.0,0.526910334,0.104006059,0.463669849,0.0683867249,0.505401238,0.0413377917
23,410356619000.0,0.415625773,0.210632578,0.0781426797,0.137062643,0.268586642,0.13820305
24,415241817000.0,1.40611656,0.199451594,1.31291391,0.133049352,0.744389,0.134493338
25,420127015000.0,-0.13640356,0.146932031,0.0148002555,0.116268375,0.0442987307,0.134746442
26,425012213000.0,0.62558408,0.197580102,0.432750358,0.102434717,0.529484026,0.129061444
27,429897411000.0,0.156218237,0.16002276,-0.525452893,0.0947974345,-0.150582585,0.0758807493
28,434782609000.0,1.35268962,0.192770319,1.10025768,0.129041339,1.45581753,0.129447842
29,439667807000.0,0.425070095,0.212898671,0.355484642,0.132773051,0.396756241,0.146591977
30,444553004000.0,0.605966377,0.185507361,0.274990459,0.139803084,0.439720013,0.144160049
31,449438202000.0,0.489511271,0.194431595,0.398813376,0.107273944,-0.488706621,0.122798753
32,454323400000.0,-0.0180724767,0.214100698,-0.495841399,0.125263667,0.47383647,0.119187034
33,459208598000.0,0.576566487,0.228510404,0.380058589,0.132234748,0.48004869,0.107552892
34,464093796000.0,0.405239667,0.190660204,-0.117920009,0.128464206,0.169317463,0.156456882
35,468978994000.0,1.6306188,0.134024652,1.55295542,0.107680149,1.23381401,0.144208367
