,freq,alpha_0deg,alpha_err_0deg,alpha_180deg,alpha_err_180deg,alpha_90deg,alpha_err_90deg
0,297997069000.0,-1.20598675,0.19168169,0.685148087,0.149541962,-0.0302383284,0.192259288
1,302882267000.0,0.943371026,0.179795898,-1.08630517,0.146606705,0.497653935,0.195442026
2,307767465000.0,0.6462952,0.114766922,0.320257143,0.0664727646,0.516342525,0.0935652109
3,312652662000.0,-0.684126532,0.204425496,0.505313122,0.161294515,0.0204304774,0.166605781
4,317537860000.0,1.3813672,0.136670972,1.28845619,0.158186231,1.25102233,0.157660231
5,322423058000.0,0.620570575,0.205173789,0.133503311,0.158905467,0.335358323,0.212871623
6,327308256000.0,-0.138956665,0.19660216,0.511334504,0.0667695105,0.294538421,0.180286649
7,332193454000.0,1.46182078,0.208629747,1.05046654,0.111516813,1.23463836,0.196473461
8,337078652000.0,0.735463408,0.220504737,0.152195022,0.163888242,0.292020499,0.232362801
9,341963850000.0,0.0648349442,0.222580181,0.512403914,0.172656817,0.423180661,0.19505087
10,346849047000.0,1.24181688,0.183163441,1.27749204,0.164080124,1.0140685,0.233370401
11,351734245000.0,0.744441593,0.204212172,0.114796771,0.119020499,0.217931395,0.184533137
12,356619443000.0,0.283601304,0.203493274,0.479425934,0.157176096,0.509337302,0.241106514
13,361504641000.0,0.93493265,0.228444751,1.18347736,0.177472144,0.789525565,0.11688192
14,366389839000.0,0.635981046,0.214443318,-0.214605117,0.176841409,-0.217249304,0.210318638
15,371275037000.0,0.481693986,0.174017487,0.397458198,0.160481569,0.523938894,0.247327898
16,376160234000.0,-0.16357924,0.240657086,0.993282445,0.112722736,-0.0132850754,0.251485673
17,381045432000.0,0.920405617,0.22991439,-1.44072528,0.155485725,-0.0648879298,0.253258391
18,385930630000.0,0.627685568,0.240090943,0.376682176,0.193265877,0.570946845,0.135373725
19,390815828000.0,-1.2490744,0.162083916,0.834349642,0.19379373,-0.0514356157,0.264602741
20,395701026000.0,1.3112674,0.193793704,-1.65750858,0.453860948,0.75299497,0.253084863
21,400586224000.0,0.604854225,0.261018352,0.251556961,0.0741293852,0.478917768,0.243103239
22,405471422000.0,-0.976535234,0.0847760608,0.719383059,0.195297655,0.160459046,0.0785338342
23,410356619000.0,1.54733348,0.262159895,-1.71889779,0.998829047,1.17347779,0.179648048
24,415241817000.0,0.694091602,0.219849561,0.194707599,0.211401805,0.442720625,0.27672006
25,420127015000.0,-0.27983462,0.250912423,0.705634466,0.0726325565,0.390606563,0.272714476
26,425012213000.0,1.62272934,0.255469002,1.58876875,0.174970991,1.3566067,0.28151632
27,429897411000.0,0.760852087,0.0661394496,0.0696990062,0.221174578,0.307608989,0.189231124
28,434782609000.0,0.0102000715,0.282213682,0.607705942,0.216927105,0.457075104,0.284308472
29,439667807000.0,1.36807206,0.137538186,1.48961538,0.17448094,1.17547212,0.29687191
30,444553004000.0,0.855125992,0.22705981,0.00136566166,0.0742064987,0.209851102,0.270226247
31,449438202000.0,0.257543572,0.255689095,0.556176555,0.224401465,0.557656806,0.23595404
32,454323400000.0,0.74041581,0.258635053,1.39074661,0.203642623,0.74763426,0.155228142
33,459208598000.0,0.824325092,0.29588375,-0.309244359,0.228865745,-0.0905154202,0.278276421
34,464093796000.0,0.444475619,0.209066071,0.490517721,0.149172765,0.599029061,0.31264663
35,468978994000.0,0.117427261,0.286957131,1.26716552,0.203787841,0.306262404,0.3160037
36,473864191000.0,1.00676675,0.276925281,-0.879024761,0.228264484,-0.282046869,0.286302549
37,478749389000.0,0.565628274,0.291636964,0.378140985,0.21967414,0.58029363,0.200772209
38,483634587000.0,-0.850392335,0.295136054,0.975763209,0.220360718,0.00582153149,0.294463188
39,488519785000.0,1.33222951,0.222783609,-1.86244296,0.145559634,0.50069519,0.33111241
40,493404983000.0,0.639428548,0.303862869,0.294096639,0.185431391,0.545927543,0.335906971
41,498290181000.0,-2.00223375,0.321540753,0.928494478,0.181728476,0.273799469,0.174436611
42,503175379000.0,1.34252528,0.322240532,-2.1076961,0.528971848,0.861908677,0.257801364
43,508060576000.0,0.744361275,0.31904082,0.178937317,0.241500062,0.482878014,0.334665262
44,512945774000.0,-2.14862223,1.70904105,0.81614074,0.187523724,0.415343467,0.343780803
45,517830972000.0,1.52027872,0.261864189,-2.1690853,1.35803627,1.19288901,0.314305679
46,522716170000.0,0.865831256,0.328815409,0.0489472362,0.250521029,0.37995466,0.06370376
47,527601368000.0,-0.160778503,0.143549751,0.699281448,0.256236701,0.492219651,0.331295433
48,532486566000.0,1.43912418,0.325664526,1.69182082,0.198301738,1.18011614,0.310812274
49,537371764000.0,0.910566283,0.344181076,-0.12109031,0.0954891131,0.231186144,0.364351419
50,542256961000.0,0.0861172517,0.249364394,0.599022866,0.247506223,0.560006736,0.216460191
51,547142159000.0,1.18591,0.343247179,1.62027713,0.233409214,1.00793016,0.333696076
