,freq,alpha_0deg,alpha_err_0deg,alpha_180deg,alpha_err_180deg,alpha_90deg,alpha_err_90deg
0,297997069000.0,0.533347157,0.0701924346,0.514990203,0.0911479221,0.473940975,0.102628532
1,302882267000.0,0.0212948042,0.0697480451,0.264373033,0.0938712158,0.286029845,0.103538962
2,307767465000.0,1.6390917,0.0451026168,1.64104846,0.0580107654,1.37688615,0.0553890906
3,312652662000.0,0.304423633,0.0532836434,0.0901767643,0.0719154344,0.0553119704,0.07458728
4,317537860000.0,0.511201046,0.065072542,0.578529929,0.0962090903,0.557969158,0.108246989
5,322423058000.0,-0.219593351,0.0744017994,0.138229103,0.0944310078,-0.0819156467,0.101356504
6,327308256000.0,0.372061369,0.0638887705,0.316021135,0.0747488193,0.8890462,0.0717308135
7,332193454000.0,0.631944209,0.0652288675,0.564577294,0.0953017806,0.582125241,0.112629486
8,337078652000.0,0.183617609,0.0772500474,0.381735393,0.0981371444,0.420269199,0.107397705
9,341963850000.0,1.5968001,0.080537695,1.61504933,0.104742804,1.02021516,0.120610903
10,346849047000.0,0.156833394,0.0770274876,-0.186545433,0.102562284,-0.122294808,0.120256503
11,351734245000.0,0.633088335,0.0653202521,0.661158716,0.0787449112,0.678475858,0.0592046509
12,356619443000.0,-0.403203789,0.051402017,0.0650150604,0.0784086985,0.144867511,0.0965116714
13,361504641000.0,1.66757109,0.0624644113,1.65318236,0.0920605663,1.96858501,0.103714275
14,366389839000.0,0.480447323,0.0855380898,0.345345087,0.114771205,0.305052243,0.124653596
15,371275037000.0,0.479097973,0.0810881737,0.622180075,0.0988040003,0.646624101,0.127010627
16,376160234000.0,0.70253842,0.0697928056,0.744760051,0.0820183756,-0.026753403,0.078662665
17,381045432000.0,0.150977146,0.085438063,-0.221564185,0.106235717,0.689519214,0.121289885
18,385930630000.0,0.656714629,0.0679764669,0.62987796,0.102567378,0.636052222,0.118429089
19,390815828000.0,0.0749952932,0.0858424725,0.384579593,0.113674391,0.446484004,0.124317463
20,395701026000.0,1.8440715,0.0916179266,1.83349023,0.117007263,1.63704222,0.133278678
21,400586224000.0,0.342045923,0.0553500754,0.105547599,0.0662668384,0.0141219114,0.0958561906
22,405471422000.0,0.588772793,0.0868780096,0.674816594,0.121515985,0.676128672,0.134335525
23,410356619000.0,-0.112922668,0.0745388234,0.198009309,0.119914171,0.0157075304,0.129446101
24,415241817000.0,0.555014257,0.0920843629,0.555595696,0.117205739,1.36356027,0.129603403
25,420127015000.0,0.641358036,0.0931922902,0.549090514,0.121918512,0.489245427,0.114494128
26,425012213000.0,0.337784317,0.0473695557,0.561584222,0.0460027143,0.571874244,0.0557687774
27,429897411000.0,1.54059818,0.0898072242,1.52603665,0.12607718,0.811773398,0.147513599
28,434782609000.0,0.209428528,0.0954676626,-0.204895173,0.12698071,-0.208101164,0.148811612
29,439667807000.0,0.680853621,0.0925550593,0.725921806,0.119009056,0.683834414,0.134964137
30,444553004000.0,-0.193120729,0.0961649161,0.347319373,0.13135411,0.319547055,0.144880362
31,449438202000.0,1.3252674,0.0789229121,1.29407315,0.109011283,1.74159919,0.119429417
32,454323400000.0,0.509593601,0.0707386077,0.36029997,0.105807566,0.224670435,0.11861911
33,459208598000.0,0.465018721,0.0927382071,0.647664016,0.135042638,0.630873685,0.152527918
34,464093796000.0,0.86495809,0.0980277639,0.863564034,0.121367576,0.00907800062,0.127230656
35,468978994000.0,0.1723776,0.0788891668,-0.229467118,0.0817155925,0.8051748,0.0622198172
36,473864191000.0,0.683004343,0.0852019678,0.700551794,0.126862438,0.638089527,0.157097457
37,478749389000.0,0.138095741,0.0961990849,0.550726137,0.13210818,0.533525932,0.144316969
38,483634587000.0,1.46469209,0.103747824,1.44313474,0.141863597,1.24475345,0.157417076
39,488519785000.0,0.48695825,0.105735614,0.235025958,0.142687227,0.155489738,0.164600629
40,493404983000.0,0.625187877,0.0897617917,0.758245373,0.107506693,0.754577863,0.0622459617
41,498290181000.0,0.116593835,0.0768120573,0.493159078,0.113692169,0.285731006,0.146234963
42,503175379000.0,0.354994766,0.0734472267,0.377996882,0.128980656,1.22440229,0.142169696
43,508060576000.0,0.652076777,0.111846898,0.584346483,0.147887206,0.536062707,0.160970733
44,512945774000.0,0.365287452,0.102632934,0.648390624,0.129138321,0.681868589,0.170322096
45,517830972000.0,1.36993656,0.0752843728,1.35571426,0.0768477468,0.618605499,0.0697652153
46,522716170000.0,0.2763877,0.109517235,-0.180279928,0.139788234,0.0351362477,0.151469861
47,527601368000.0,0.672200375,0.0794749843,0.730762328,0.143954547,0.711613926,0.163386082
48,532486566000.0,-0.0809417677,0.110505236,0.521671749,0.155705011,0.49524605,0.161305778
49,537371764000.0,0.908655618,0.118505386,0.932406865,0.154073314,1.35677152,0.174698208
50,542256961000.0,0.623742581,0.0519706679,0.457257507,0.0720189736,0.380437974,0.131126801
51,547142159000.0,0.509262425,0.109832122,0.723233671,0.162410925,0.729717633,0.183348087
52,552027357000.0,0.972505235,0.0886840686,1.03828433,0.152344087,0.262345235,0.176665139
53,556912555000.0,0.100611858,0.123287871,-0.619877534,0.151008379,0.539345925,0.170582149
54,561797753000.0,0.731193103,0.121556604,0.726561394,0.16373439,0.687428383,0.145007461
55,566682951000.0,0.128335168,0.0561717262,0.607552478,0.0528543354,0.620734428,0.0789925375
56,571568149000.0,1.49146719,0.113957815,1.45139173,0.151396623,1.28066114,0.183878011
57,576453346000.0,0.524293175,0.115670368,0.23681572,0.16464103,0.123470297,0.189535517
58,581338544000.0,0.657460533,0.121525923,0.80501653,0.141550962,0.814333877,0.165270344
59,586223742000.0,0.208568382,0.127075428,0.555180809,0.169900293,0.332191918,0.183988598
60,591108940000.0,0.315500469,0.10119837,0.222473994,0.153495442,1.29397688,0.176732009
61,595994138000.0,0.767846693,0.102202533,0.687423907,0.146573603,0.664787451,0.166073102
62,600879336000.0,0.390380517,0.118194785,0.738520468,0.175415466,0.789315917,0.195553782
63,605764533000.0,1.47867816,0.122020616,1.45436411,0.136778569,0.713421419,0.152062632
64,610649731000.0,0.342077128,0.0986413615,-0.141950885,0.0865456816,-0.00301973657,0.0471463125
65,615534929000.0,0.757396641,0.081196374,0.832558895,0.147211481,0.858432737,0.199624911
66,620420127000.0,-2.59880975,0.617737092,0.510657217,0.173012033,0.579821514,0.199945401
67,625305325000.0,1.06632213,0.137818238,1.05886289,0.171778365,1.6452687,0.189593719
68,630190523000.0,0.680350446,0.133396491,0.515553289,0.173706348,0.446132583,0.208422584
69,635075721000.0,0.586354197,0.121995094,0.85993914,0.14026307,0.907644075,0.073925852
70,639960918000.0,0.952062081,0.0912578191,0.966238502,0.165923977,0.229012621,0.197980249
71,644846116000.0,0.261042109,0.0980906346,-2.7011251,0.413099728,0.887491742,0.203765434
72,649731314000.0,0.79199924,0.135175173,0.820112733,0.179078644,0.799629533,0.181805592
73,654616512000.0,0.169442793,0.116841,0.744751444,0.140566934,0.797971657,0.205802937
74,659501710000.0,1.28068012,0.0717900279,1.2851975,0.0649473487,1.12845194,0.082118826
75,664386908000.0,0.666268985,0.141404268,0.395082848,0.182935302,0.353302647,0.207769431
76,669272106000.0,0.692454027,0.117954329,0.903146918,0.189364942,0.93916884,0.220708069
77,674157303000.0,0.440949122,0.139967862,0.740869838,0.186156553,0.483882613,0.175613401
78,679042501000.0,0.423589823,0.146055924,0.230581378,0.195846736,1.36427575,0.20865159
79,683927699000.0,0.866978713,0.0502139393,0.818012313,0.0728005187,0.810076214,0.159023023
80,688812897000.0,0.437852417,0.131503364,0.890368669,0.199024358,0.953773978,0.235525509
81,693698095000.0,1.51733925,0.122584357,1.48098041,0.20265749,0.800449079,0.23383162
82,698583293000.0,0.702656168,0.13987348,0.254864833,0.154238527,0.587596677,0.19209634
83,703468490000.0,0.846038965,0.149910803,0.970307558,0.200823434,1.01517007,0.191348593
84,708353688000.0,0.143574073,0.0711703593,0.834150452,0.0867399631,0.828247889,0.121036596
85,713238886000.0,1.00644829,0.135945909,0.994594332,0.186665547,1.63494534,0.23179882
86,718124084000.0,0.963679211,0.145632894,0.80562541,0.208464252,0.831665894,0.221736255
87,723009282000.0,0.676058482,0.142314201,1.01551161,0.153650333,1.10663089,0.169127738
88,727894480000.0,1.54990763,0.156448339,1.57022104,0.212514813,0.756962262,0.225029961
89,732779678000.0,0.659956875,0.116550169,-3.06946034,0.430650519,1.21331271,0.234012445
90,737664875000.0,1.01946073,0.145589274,1.06844736,0.20396212,1.11084291,0.232733558
91,742550073000.0,0.383067304,0.149063391,1.04371492,0.221206299,1.09277865,0.242631001
92,747435271000.0,1.62048814,0.150191794,1.64936528,0.158700547,1.71128665,0.191151684
93,752320469000.0,0.947815497,0.123106482,0.66349256,0.115891937,0.68864303,0.0604601545
94,757205667000.0,0.917447986,0.0746048378,1.15332292,0.172999558,1.20217755,0.24891704
95,762090865000.0,1.15313679,0.156019279,1.36635761,0.220971371,0.924165142,0.248963374
96,766976063000.0,0.652569104,0.167575737,0.388052655,0.208708563,1.76674063,0.20822636
