,freq,alpha_0deg,alpha_err_0deg,alpha_180deg,alpha_err_180deg,alpha_90deg,alpha_err_90deg
0,297997069000.0,-0.155544625,0.130949319,-0.424142885,0.066460295,0.0448544265,0.368278851
1,302882267000.0,0.990070742,0.127732383,1.0095086,0.069259954,1.17863277,0.368576349
2,307767465000.0,0.607492609,0.036303889,0.641109097,0.0361220089,0.606107822,0.172203411
3,312652662000.0,-0.000833452129,0.12943671,-0.197977388,0.0592255,0.204483637,0.34981804
4,317537860000.0,1.59327307,0.131521617,1.57184471,0.0676480304,1.4650416,0.264059677
5,322423058000.0,0.395766201,0.143438565,0.456655771,0.073469366,0.319874482,0.374556879
6,327308256000.0,0.279125189,0.0853173724,0.128526792,0.0513609002,0.427558597,0.370998684
7,332193454000.0,1.04757175,0.132623403,1.06791669,0.0699943009,0.397862609,0.314454817
8,337078652000.0,0.451656361,0.145090706,0.565703025,0.079846936,0.428196267,0.39907013
9,341963850000.0,0.415473073,0.136869737,0.304349846,0.079471893,0.49054526,0.340439701
10,346849047000.0,0.562169834,0.144846093,0.533699612,0.0759702196,-0.152633501,0.407291445
11,351734245000.0,0.427604992,0.0927088443,0.590647102,0.0593400632,0.471953627,0.414311813
12,356619443000.0,0.536204787,0.146107579,0.456095158,0.079301023,0.623223536,0.316626918
13,361504641000.0,-0.0126698697,0.123711468,-0.0440050087,0.0679716789,-0.594356121,0.213886733
14,366389839000.0,0.236906118,0.152635091,0.466047255,0.0822247527,0.820652054,0.39922588
15,371275037000.0,0.542202496,0.148619197,0.510305478,0.0818958377,0.610342267,0.436608752
16,376160234000.0,-0.599247093,0.143117087,-1.3112681,0.0779879149,-0.0719138077,0.23999926
17,381045432000.0,0.825733204,0.156001524,0.840291719,0.0845665662,1.39432823,0.416128529
18,385930630000.0,0.60156238,0.146973578,0.596197613,0.0694039566,0.644612744,0.298242113
19,390815828000.0,-0.167919317,0.168211733,-0.571086242,0.0868432004,0.201342021,0.454503496
20,395701026000.0,1.48497954,0.139810701,1.42676552,0.0816580501,1.67765946,0.487291949
21,400586224000.0,0.512966635,0.103962708,0.557484365,0.0651544921,0.495765967,0.212450856
