,freq,alpha_0deg,alpha_err_0deg,alpha_180deg,alpha_err_180deg,alpha_90deg,alpha_err_90deg
0,249084249000.0,2.24781316,0.133245409,0.369069527,0.300253814,0.00394241515,0.264043685
1,253968254000.0,1.03190343,0.121775617,-0.289263071,0.220995759,-0.437832447,0.20061999
2,258852259000.0,-0.316033929,0.13112006,1.23065797,0.312904191,0.894232041,0.272333522
3,263736264000.0,-1.10473588,2.12192477,2.81707058,0.152131893,1.90978295,0.180699819
4,268620269000.0,-1.12519395,3.84833718,1.18222128,0.229354869,1.09879606,0.16127005
5,273504274000.0,-0.0331083052,0.144114339,0.851592666,0.328236071,0.552051979,0.28166861
6,278388278000.0,2.00263508,0.0999971855,0.593160065,0.300551502,0.239249198,0.259794042
7,283272283000.0,2.01923658,0.149676474,-0.0236058069,0.325292002,-0.3841753,0.299265144
8,288156288000.0,0.432924517,0.104344209,-1.26379573,0.235764079,0.823080059,0.186948147
9,293040293000.0,-1.19550196,0.154079829,3.17728933,0.308329796,0.736438167,0.24556797
10,297924298000.0,-1.24794238,5.2480269,1.82346442,0.342360766,2.10473445,0.307065073
11,302808303000.0,-1.26840045,1.75124712,1.3441864,0.347233701,0.885705487,0.309003491
12,307692308000.0,0.920172534,0.15951775,0.925336903,0.347617587,0.538831468,0.317004273
13,312576313000.0,2.56586344,0.126788641,0.408601235,0.152111192,0.26802009,0.181390165
14,317460317000.0,1.33341457,0.155939962,-0.0831579872,0.363416728,-0.371779984,0.320405624
15,322344322000.0,-0.146431677,0.159006564,-1.51996513,0.356689862,0.827578059,0.331934654
16,327228327000.0,-1.37069081,1.74098076,2.88116977,0.364050828,1.33362219,0.316615764
17,332112332000.0,-1.39114888,4.22313623,1.93937192,0.377425993,1.69707457,0.34028519
18,336996337000.0,-0.486026716,0.172258664,1.12565455,0.100584178,0.836328818,0.163908772
19,341880342000.0,1.8638319,0.175505887,0.681092013,0.369964892,0.338957051,0.317753528
20,346764347000.0,2.5716683,0.171535868,0.249033893,0.378321825,0.0247571538,0.34413454
21,351648352000.0,0.989817777,0.133711281,-0.483870443,0.317936485,-0.20367214,0.245534945
22,356532357000.0,-0.780899251,0.169583121,1.59239737,0.385686562,0.761442581,0.358723951
23,361416361000.0,-1.51389731,3.92309484,2.58208083,0.0904626395,1.94425045,0.101044065
24,366300366000.0,-1.53435539,2.32190186,1.65627413,0.404440172,1.27818787,0.329181864
25,371184371000.0,0.731615664,0.141422093,1.08031897,0.408828143,0.668217058,0.355697655
26,376068376000.0,2.70393181,0.13230462,0.57866545,0.401991881,0.283164388,0.315008097
27,380952381000.0,2.12653521,0.177716902,0.0473576716,0.389455634,-0.228620967,0.379027452
28,385836386000.0,0.347608289,0.155509619,-1.21688693,0.309233943,0.198584478,0.233880128
29,390720391000.0,-1.63664575,0.498063571,2.82520306,0.437148653,0.982335691,0.373845947
30,395604396000.0,-1.65710382,6.26150254,2.47994557,0.428675815,1.99690775,0.383772916
31,400488400000.0,-1.20244289,0.16532152,1.37410041,0.452000953,1.03540193,0.39477798
32,405372405000.0,1.67641873,0.189570872,0.828022928,0.381584566,0.407785184,0.394111433
33,410256410000.0,2.98461445,0.193045953,0.369817503,0.249732364,-0.00412144028,0.258229516
34,415140415000.0,1.50146468,0.203388888,-0.270655873,0.465048395,-0.447975388,0.408503115
35,420024420000.0,-0.431648248,0.148579903,-0.623491876,0.418217578,0.660716898,0.407418275
36,424908425000.0,-1.77985225,2.57587561,3.09551282,0.460430977,1.66712303,0.377694309
37,429792430000.0,-1.80031032,3.74496862,2.06750848,0.415262507,1.46711282,0.413019249
38,434676435000.0,0.46961399,0.204629217,1.300265,0.163407021,0.788831987,0.0875493114
39,439560440000.0,2.59748372,0.216336783,0.754403024,0.491109456,0.389229386,0.421083174
40,444444444000.0,2.83629438,0.161711228,0.195147599,0.445735872,-0.144830941,0.39310709
41,449328449000.0,0.849430865,0.191762576,-0.741922519,0.430200846,-0.494944324,0.295799924
42,454212454000.0,-1.39767925,0.2015327,1.71694727,0.408421078,0.738431644,0.420944318
43,459096459000.0,-1.92305875,6.36459484,2.87125604,0.216133021,1.86587158,0.114006978
44,463980464000.0,-1.94351682,0.529817842,1.79605389,0.511350048,1.29160954,0.438487712
45,468864469000.0,1.71786648,0.087451284,1.10159907,0.506118143,0.640686187,0.446360387
46,473748474000.0,3.18107147,0.21123425,0.536691667,0.506558641,0.250247815,0.380263745
47,478632479000.0,2.18270506,0.192651034,-0.0282969491,0.401667142,-0.241502953,0.431847661
48,483516484000.0,0.0355724065,0.232124729,-1.39576251,0.445044088,-0.0490220738,0.341522806
49,488400488000.0,-2.04580718,2.03335183,2.60800226,0.536496789,1.11580174,0.471815107
50,493284493000.0,-2.06626525,6.44962002,2.66671505,0.530522625,1.87740157,0.470012182
51,498168498000.0,0.139544575,0.240158101,1.57813718,0.551918061,1.1146342,0.476645702
52,503052503000.0,2.58693253,0.238922819,0.903607456,0.327267423,0.555461927,0.416364595
53,507936508000.0,3.26525996,0.242712502,0.371623517,0.421151033,0.0745949956,0.377591246
54,512820513000.0,1.46313271,0.24444946,-0.444774863,0.553670605,-0.699471763,0.490911274
