,freq,alpha_0deg,alpha_err_0deg,alpha_180deg,alpha_err_180deg,alpha_90deg,alpha_err_90deg
0,297997069000.0,0.387997624,0.181807224,0.426443414,0.125347364,0.366682871,0.173864477
1,302882267000.0,0.406267284,0.177940777,0.441979017,0.101536829,0.395832856,0.142551888
2,307767465000.0,0.499999658,0.179451507,0.529147716,0.125611693,0.488955135,0.193023076
3,312652662000.0,0.575483585,0.155604933,0.601725042,0.0988291818,0.555339913,0.070605185
4,317537860000.0,0.51812646,0.18976943,0.544994158,0.121663553,0.498454386,0.188021956
5,322423058000.0,0.431679315,0.190474278,0.462007005,0.136309094,0.42485339,0.198068412
6,327308256000.0,0.436666497,0.120848433,0.46710271,0.0424471208,0.433700125,0.103697335
7,332193454000.0,0.515662533,0.196849783,0.546990553,0.138579995,0.503069182,0.211676681
8,337078652000.0,0.606874054,0.106536547,0.643704303,0.133915672,0.57798157,0.193140779
9,341963850000.0,0.60359369,0.133572075,0.64187853,0.0849634815,0.571258348,0.202628786
10,346849047000.0,0.533487448,0.196593181,0.568437121,0.14478209,0.517070746,0.223247145
11,351734245000.0,0.518405503,0.0633297504,0.548213935,0.115909385,0.51597075,0.203786266
12,356619443000.0,0.566353912,0.191790633,0.593105193,0.144800312,0.570686584,0.212045979
13,361504641000.0,0.629714655,0.189862889,0.658684292,0.147921581,0.63510996,0.213203691
14,366389839000.0,0.629549192,0.157507543,0.662106528,0.130276685,0.62907777,0.243741143
15,371275037000.0,0.568873257,0.224647937,0.602985538,0.148580722,0.561497375,0.159499172
16,376160234000.0,0.544933668,0.191105602,0.576786296,0.150894232,0.534835651,0.224788644
17,381045432000.0,0.575630605,0.212415017,0.605872342,0.15530757,0.569539879,0.220919679
18,385930630000.0,0.61872494,0.218354842,0.651994421,0.0937758009,0.625583634,0.0832935661
19,390815828000.0,0.612593055,0.237671869,0.651842821,0.167661229,0.634185761,0.251752949
20,395701026000.0,0.555418006,0.209428173,0.601841109,0.157665957,0.580310285,0.179952908
21,400586224000.0,0.521506048,0.205765786,0.571817866,0.0851559477,0.538351606,0.189073588
22,405471422000.0,0.541716058,0.235901889,0.593767147,0.167113414,0.550734384,0.25889071
23,410356619000.0,0.591744285,0.116070591,0.646264262,0.11361417,0.600462347,0.187933003
24,415241817000.0,0.622811954,0.230935027,0.676497731,0.151992701,0.630890218,0.273475777
25,420127015000.0,0.610593799,0.196524554,0.659574264,0.174302228,0.604511028,0.270987583
26,425012213000.0,0.586731001,0.0936154799,0.631707774,0.0898297888,0.558401343,0.246692948
27,429897411000.0,0.581588196,0.243940535,0.628919378,0.177019562,0.541100465,0.238606846
28,434782609000.0,0.595280073,0.142697101,0.654379448,0.182266939,0.565461301,0.280425969
29,439667807000.0,0.606113345,0.197063457,0.677158156,0.147502346,0.598933089,0.283418862
30,444553004000.0,0.597692768,0.258672465,0.669708948,0.165297528,0.597646373,0.184951107
31,449438202000.0,0.5812015,0.172438223,0.644770551,0.178963064,0.568919732,0.284787212
32,454323400000.0,0.573072582,0.261135003,0.628561568,0.189465352,0.549209615,0.206933985
33,459208598000.0,0.580751834,0.264981452,0.639670983,0.148130544,0.564854247,0.210291008
34,464093796000.0,0.602312522,0.256794396,0.67555054,0.187461285,0.606959065,0.300638133
35,468978994000.0,0.623147315,0.267302863,0.706335856,0.158328884,0.630338082,0.0953346266
36,473864191000.0,0.628448719,0.267772355,0.709615337,0.163698807,0.614947003,0.275793547
37,478749389000.0,0.616722882,0.268819751,0.689373772,0.197694181,0.584616961,0.290100939
38,483634587000.0,0.599014859,0.226713893,0.667350933,0.0696387258,0.574143996,0.183757601
39,488519785000.0,0.592627133,0.298588256,0.665916248,0.198698199,0.595684782,0.321408058
40,493404983000.0,0.600811341,0.210297952,0.680850983,0.193868049,0.621546148,0.28717622
41,498290181000.0,0.605642158,0.215119163,0.6872652,0.0837345553,0.622852935,0.294373105
42,503175379000.0,0.592943588,0.28219532,0.671831547,0.205286783,0.604283142,0.295866853
43,508060576000.0,0.57079246,0.0648349795,0.649063746,0.17975888,0.59219664,0.31485154
44,512945774000.0,0.563579621,0.269511778,0.646099809,0.189404239,0.604034047,0.308344055
45,517830972000.0,0.580774562,0.240090389,0.665297383,0.201713156,0.62589318,0.288586043
46,522716170000.0,0.600184507,0.145543653,0.680148373,0.172153925,0.630784983,0.333381552
47,527601368000.0,0.595043964,0.308977671,0.667707769,0.213949307,0.612270289,0.172950775
48,532486566000.0,0.568467551,0.231900737,0.639170374,0.213358224,0.592439421,0.315660988
49,537371764000.0,0.552449896,0.281304434,0.627535907,0.208605568,0.594305819,0.315794672
50,542256961000.0,0.56557612,0.316030362,0.640729927,0.146736243,0.612155666,0.0993931234
51,547142159000.0,0.591471579,0.286272621,0.656125116,0.222017126,0.623492151,0.343231124
52,552027357000.0,0.601568264,0.309972969,0.650532773,0.226347342,0.616528933,0.255835762
53,556912555000.0,0.590542763,0.318369567,0.634101542,0.100664273,0.605485022,0.283658463
54,561797753000.0,0.586250679,0.331021638,0.641331592,0.232299565,0.613008039,0.363869526
55,566682951000.0,0.605906366,0.246856576,0.674902551,0.172685238,0.635731673,0.264661334
56,571568149000.0,0.631520646,0.31775783,0.703721716,0.179717412,0.653299799,0.360833633
57,576453346000.0,0.636161884,0.28500884,0.699375216,0.237430875,0.655224791,0.366485183
58,581338544000.0,0.618516489,0.186368691,0.672218589,0.114668596,0.652649696,0.353681173
59,586223742000.0,0.609294297,0.343909962,0.664188956,0.237145545,0.66345356,0.324728985
60,591108940000.0,0.624721098,0.158961908,0.685786765,0.238154895,0.684865945,0.372718937
61,595994138000.0,0.643786074,0.24799052,0.707948266,0.175879404,0.699265426,0.361983294
62,600879336000.0,0.636486619,0.328244796,0.69863911,0.229003969,0.694328447,0.207571937
63,605764533000.0,0.603561185,0.133078202,0.6651107,0.24496452,0.678789903,0.388585276
64,610649731000.0,0.58692121,0.341321333,0.654029567,0.244730414,0.676558497,0.266282913
65,615534929000.0,0.611196832,0.305389729,0.682379351,0.192418925,0.693801588,0.27391673
66,620420127000.0,0.652235071,0.278493971,0.721358101,0.24179386,0.715988102,0.388606243
67,625305325000.0,0.670096508,0.366316867,0.733283092,0.227230507,0.727630274,0.137168453
68,630190523000.0,0.652255674,0.336176754,0.714368729,0.214159838,0.725312389,0.384356887
69,635075721000.0,0.631699158,0.36303242,0.702592375,0.256525701,0.719582904,0.384951514
70,639960918000.0,0.638152255,0.350069624,0.719441137,0.100074054,0.718398528,0.284972801
71,644846116000.0,0.661105039,0.378350162,0.747920724,0.252609597,0.718894542,0.40345723
72,649731314000.0,0.670275558,0.301926803,0.757026089,0.259574249,0.716347028,0.394012437
73,654616512000.0,0.653266037,0.344045282,0.739497545,0.0978396649,0.714028143,0.416233277
74,659501710000.0,0.637092915,0.373859321,0.727250182,0.269335973,0.720095075,0.374516636
75,664386908000.0,0.648975671,0.162634501,0.742903375,0.222036635,0.734938223,0.415423779
76,669272106000.0,0.682634847,0.367251678,0.776086971,0.240089837,0.753446317,0.349808506
77,674157303000.0,0.714500848,0.272688205,0.802398792,0.266875368,0.772498343,0.374079244
78,679042501000.0,0.729928874,0.183465302,0.809869356,0.212364813,0.790981402,0.436906431
79,683927699000.0,0.740317287,0.39315014,0.814336034,0.276157521,0.808502366,0.155309478
80,688812897000.0,0.762616508,0.183814261,0.831644251,0.270820602,0.826898385,0.411618174
81,693698095000.0,0.794197546,0.343980821,0.857476185,0.264809464,0.850147848,0.376401728
82,698583293000.0,0.819028389,0.39183422,0.877108013,0.20477694,0.881080622,0.195561171
83,703468490000.0,0.830171781,0.294449109,0.886996036,0.289446285,0.915548726,0.45401011
84,708353688000.0,0.845605806,0.415774058,0.903951071,0.284270732,0.944637366,0.314994446
85,713238886000.0,0.881404593,0.390187476,0.937927852,0.137138964,0.96758336,0.398308328
86,718124084000.0,0.928197206,0.400680943,0.978833145,0.291828421,0.991595881,0.456767498
87,723009282000.0,0.961474669,0.388666935,1.00741927,0.227917336,1.02216737,0.374941524
88,727894480000.0,0.966507148,0.428770639,1.0174337,0.220536224,1.05489978,0.465386098
89,732779678000.0,0.964134417,0.392399634,1.02818426,0.295977425,1.08018552,0.462726325
90,737664875000.0,0.981629156,0.339099172,1.05316113,0.12766713,1.09759429,0.456109642
91,742550073000.0,1.01501996,0.432535739,1.08153166,0.296333694,1.11160239,0.348206032
92,747435271000.0,1.03795449,0.224150744,1.09235645,0.306859722,1.12240555,0.480148779
93,752320469000.0,1.03151453,0.355736218,1.08402025,0.197846343,1.12811112,0.451347896
94,757205667000.0,1.01520655,0.392923387,1.08324433,0.295259589,1.13214,0.256448292
95,762090865000.0,1.01902716,0.0659150693,1.10365752,0.296158191,1.14002196,0.481107888
96,766976063000.0,1.041225,0.415533768,1.12861408,0.302802442,1.15100504,0.280831178
97,771861260000.0,1.05786808,0.312943893,1.13277317,0.256774096,1.15738939,0.373817209
98,776746458000.0,1.05318849,0.282380957,1.11578901,0.302407034,1.15295366,0.490794572
99,781631656000.0,1.04302356,0.45575681,1.10668127,0.295116899,1.1445888,0.192995448
