,freq,a,b
216,80400000000.0,0.7567223304690658,0.7403843374095959
217,80425000000.0,0.7568301948212774,0.7404183536023183
218,80450000000.0,0.7569213532443784,0.7404381286056446
219,80475000000.0,0.7569952982178344,0.7404433921590322
220,80500000000.0,0.7570515576728415,0.740433905031943
221,80525000000.0,0.7570896963018273,0.7404094598380749
222,80550000000.0,0.757109316713516,0.7403698817395254
223,80575000000.0,0.7571100605077117,0.7403150290543573
224,80600000000.0,0.7570916091661901,0.7402447937327085
225,80625000000.0,0.7570536848862726,0.7401591017515429
226,80650000000.0,0.7569960511819518,0.7400579133400591
227,80675000000.0,0.7569185134535122,0.7399412231491934
228,80700000000.0,0.7568209193449992,0.7398090602535508
229,80725000000.0,0.7567031590280537,0.73966148809224
230,80750000000.0,0.7565651653045742,0.7394986042451657
231,80775000000.0,0.7564069135953568,0.7393205401185868
232,80800000000.0,0.7562284218128237,0.7391274605398881
233,80825000000.0,0.7560297500771875,0.7389195632076865
234,80850000000.0,0.7558110003439299,0.7386970780849224
235,80875000000.0,0.7555723158556151,0.7384602666408282
236,80900000000.0,0.7553138805526228,0.7382094210666508
237,80925000000.0,0.7550359182989792,0.7379448633331416
238,80950000000.0,0.7547386920259298,0.7376669442017465
239,80975000000.0,0.754422502795733,0.7373760421645625
240,81000000000.0,0.7540876887155673,0.7370725622743491
241,81025000000.0,0.7537346238275754,0.7367569349559974
242,81050000000.0,0.7533637168377865,0.7364296147127125
243,81075000000.0,0.7529754098202271,0.7360910787974534
244,81100000000.0,0.7525701768433691,0.7357418258630736
245,81125000000.0,0.752148522477696,0.7353823744900989
246,81150000000.0,0.7517109803090891,0.7350132617760593
247,81175000000.0,0.7512581113752421,0.7346350418358565
248,81200000000.0,0.7507905025253591,0.7342482842803462
249,81225000000.0,0.7503087647595744,0.7338535726836215
250,81250000000.0,0.7498135315830157,0.7334515030783652
251,81275000000.0,0.7493054572275442,0.733042682357889
252,81300000000.0,0.7487852149668811,0.732627726777723
253,81325000000.0,0.7482534953098215,0.7322072603684908
254,81350000000.0,0.7477110042615863,0.7317819134142368
