freq            ,ref_ind         ,kappa           ,alpha           ,epsilon_r       ,epsilon_i       ,ref_ind_S       ,kappa_S         ,alpha_S         ,alpha_max       ,epsilonS_r      ,epsilonS_i      ,delta_N         ,delta_A         ,H_measure_r     ,H_measure_i     ,H_calc_r        ,H_calc_i        ,T_measure       ,T_calc          ,thickness       ,allThicknesses  ,QSnValue        ,QSkValue        ,Num_Thickness   ,N_std           ,delta_K         ,delta_Eps_1     ,delta_Eps_2     
+7.34328857e+010,+1.53466496e+000,-1.99481508e-003,-6.13595049e-002,+2.35519257e+000,-6.12274562e-003,+1.53466496e+000,-1.99481508e-003,-6.14019832e-002,+1.31822479e+001,+2.35519257e+000,-6.12274562e-003,+4.97692843e-004,+1.53203343e-002,+9.80921991e-001,-3.04095358e-001,+9.80921991e-001,-3.04095358e-001,+1.02697709e+000,+1.02697709e+000,                ,+8.00000000e-003,                ,                ,                ,                ,+4.97723888e-004,+1.52559780e-003,+1.52569322e-003
+7.83284114e+010,+1.52684259e+000,-2.12222024e-004,-6.96303183e-003,+2.33124824e+000,-6.48059249e-004,+1.52684259e+000,-2.12222024e-004,-6.96785224e-003,+1.37950888e+001,+2.33124824e+000,-6.48059249e-004,+3.79922873e-004,+1.24746230e-002,+7.33484841e-001,-5.69787164e-001,+7.33484841e-001,-5.69787165e-001,+9.28793532e-001,+9.28793532e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+3.79943439e-004,+1.16000358e-003,+1.16006639e-003
+8.32239371e+010,+1.52480568e+000,+2.83511049e-003,+9.88341100e-002,+2.32502433e+000,+8.64598518e-003,+1.52480568e+000,+2.83511049e-003,+9.89025314e-002,+1.42104753e+001,+2.32502433e+000,+8.64598518e-003,+3.03481536e-004,+1.05874272e-002,+5.02835347e-001,-7.75905940e-001,+5.02835347e-001,-7.75905940e-001,+9.24593648e-001,+9.24593648e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+3.03496034e-004,+9.27221632e-004,+9.27265761e-004
+8.81194628e+010,+1.52578980e+000,+3.26565714e-004,+1.20539958e-002,+2.32803442e+000,+9.96541272e-004,+1.52578980e+000,+3.26565714e-004,+1.20623406e-002,+1.51029143e+001,+2.32803442e+000,+9.96541272e-004,+1.96740797e-004,+7.26731483e-003,+4.93304492e-002,-9.68884239e-001,+4.93304493e-002,-9.68884238e-001,+9.70139248e-001,+9.70139248e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.96749199e-004,+6.00498706e-004,+6.00524341e-004
+9.30149885e+010,+1.52573739e+000,-2.27261461e-003,-8.85456725e-002,+2.32786940e+000,-6.93482615e-003,+1.52573739e+000,-2.27261461e-003,-8.86069714e-002,+1.58136562e+001,+2.32786940e+000,-6.93482615e-003,+1.41337316e-004,+5.51081171e-003,-3.00482569e-001,-9.02757440e-001,-3.00482570e-001,-9.02757440e-001,+9.51451928e-001,+9.51451928e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.41342730e-004,+4.30644817e-004,+4.30661364e-004
+9.79105142e+010,+1.52304141e+000,-6.79386270e-003,-2.78634383e-001,+2.31960897e+000,-2.06946684e-002,+1.52304141e+000,-6.79386270e-003,-2.78827277e-001,+1.37395473e+001,+2.31960897e+000,-2.06946684e-002,+2.89792837e-004,+1.18938126e-002,-7.37851153e-001,-8.53101374e-001,-7.37851154e-001,-8.53101374e-001,+1.12792122e+000,+1.12792122e+000,                ,+8.00000000e-003,                ,                ,                ,                ,+2.89802814e-004,+8.78795220e-004,+8.78825745e-004
+1.02806040e+011,+1.52771773e+000,-7.90550490e-004,-3.40437076e-002,+2.33392082e+000,-2.41547599e-003,+1.52771773e+000,-7.90550490e-004,-3.40672756e-002,+1.61341182e+001,+2.33392082e+000,-2.41547599e-003,+1.13093822e-004,+4.87371765e-003,-8.95146162e-001,-2.80943864e-001,-8.95146162e-001,-2.80943864e-001,+9.38198330e-001,+9.38198330e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.13097388e-004,+3.45372055e-004,+3.45382956e-004
+1.07701566e+011,+1.52713604e+000,-1.11178283e-003,-5.01568888e-002,+2.33214326e+000,-3.39568728e-003,+1.52713604e+000,-1.11178283e-003,-5.01916117e-002,+1.59925125e+001,+2.33214326e+000,-3.39568728e-003,+1.12198323e-004,+5.06535622e-003,-9.81701544e-001,+4.34197187e-002,-9.81701544e-001,+4.34197188e-002,+9.82661281e-001,+9.82661281e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.12201539e-004,+3.42434720e-004,+3.42444549e-004
+1.12597091e+011,+1.52921248e+000,+1.45791981e-003,+6.87621453e-002,+2.33848869e+000,+4.45893834e-003,+1.52921248e+000,+1.45791981e-003,+6.88097484e-002,+1.53433828e+001,+2.33848869e+000,+4.45893834e-003,+1.41297053e-004,+6.66900208e-003,-7.79345787e-001,+5.32668933e-001,-7.79345787e-001,+5.32668933e-001,+9.43989432e-001,+9.43989432e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.41300767e-004,+4.32558445e-004,+4.32569793e-004
+1.17492617e+011,+1.52742492e+000,+3.29307591e-003,+1.62069364e-001,+2.33301606e+000,+1.00598524e-002,+1.52742492e+000,+3.29307591e-003,+1.62181563e-001,+1.55535986e+001,+2.33301606e+000,+1.00598524e-002,+1.29043849e-004,+6.35546753e-003,-5.10420862e-001,+7.01087714e-001,-5.10420862e-001,+7.01087714e-001,+8.67210147e-001,+8.67210147e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.29046956e-004,+3.95059506e-004,+3.95068978e-004
+1.22388143e+011,+1.52590632e+000,+1.31427295e-003,+6.73772874e-002,+2.32838836e+000,+4.01091478e-003,+1.52590632e+000,+1.31427295e-003,+6.74239317e-002,+1.65931441e+001,+2.32838836e+000,+4.01091478e-003,+7.80441747e-005,+4.00385702e-003,-2.10246432e-001,+9.47083942e-001,-2.10246432e-001,+9.47083942e-001,+9.70139967e-001,+9.70139967e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+7.80458930e-005,+2.38381345e-004,+2.38386585e-004
+1.27283668e+011,+1.52612823e+000,+7.18491667e-004,+3.83074311e-002,+2.32906686e+000,+2.19302083e-003,+1.52607064e+000,+7.05411356e-004,+3.76360721e-002,+1.64020815e+001,+2.32889111e+000,+2.15301512e-003,+8.28960600e-005,+4.42287427e-003,+2.32346296e-001,+8.85764317e-001,+2.32346296e-001,+8.85764317e-001,+9.15730979e-001,+9.15730979e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+8.28977511e-005,+2.53127441e-004,+2.53132600e-004
+1.32179194e+011,+1.52623497e+000,+9.65497639e-005,+5.34567960e-003,+2.32939318e+000,+2.94715253e-004,+1.52623497e+000,+9.65497639e-005,+5.34938034e-003,+1.54687074e+001,+2.32939318e+000,+2.94715253e-004,+1.13853354e-004,+6.30821277e-003,+5.54583023e-001,+7.81287356e-001,+5.54583023e-001,+7.81287356e-001,+9.58108690e-001,+9.58108690e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.13855515e-004,+3.47555926e-004,+3.47562523e-004
+1.37074720e+011,+1.52652243e+000,+6.80012327e-004,+3.90447604e-002,+2.33027026e+000,+2.07610814e-003,+1.52652243e+000,+6.80012327e-004,+3.90717905e-002,+1.57184762e+001,+2.33027026e+000,+2.07610814e-003,+9.92221235e-005,+5.70115348e-003,+8.71708230e-001,+4.04844629e-001,+8.71708230e-001,+4.04844629e-001,+9.61131839e-001,+9.61131839e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+9.92238798e-005,+3.03064541e-004,+3.03069901e-004
+1.41970246e+011,+1.52933528e+000,+8.92824282e-005,+5.30947935e-003,+2.33886639e+000,+2.73085534e-004,+1.52933528e+000,+8.92824282e-005,+5.31315503e-003,+1.60081872e+001,+2.33886639e+000,+2.73085534e-004,+8.68029760e-005,+5.16568928e-003,+9.19861247e-001,-4.54354633e-003,+9.19861247e-001,-4.54354645e-003,+9.19872468e-001,+9.19872468e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+8.68044090e-005,+2.65517207e-004,+2.65521590e-004
+1.46865771e+011,+1.52720136e+000,+1.18323370e-003,+7.27913429e-002,+2.33234259e+000,+3.61407224e-003,+1.52720136e+000,+1.18323370e-003,+7.28417353e-002,+1.62554812e+001,+2.33234259e+000,+3.61407224e-003,+7.44915671e-005,+4.58588892e-003,+8.91328705e-001,-3.77642745e-001,+8.91328705e-001,-3.77642744e-001,+9.68029392e-001,+9.68029392e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+7.44927109e-005,+2.27703529e-004,+2.27707020e-004
+1.51761297e+011,+1.52896125e+000,+2.61605530e-003,+1.66301650e-001,+2.33771567e+000,+7.99969439e-003,+1.52896125e+000,+2.61605530e-003,+1.66416779e-001,+1.53783158e+001,+2.33771567e+000,+7.99969439e-003,+1.07015849e-004,+6.80776538e-003,+5.33622178e-001,-6.86453164e-001,+5.33622178e-001,-6.86453164e-001,+8.69465684e-001,+8.69465683e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.07017398e-004,+3.27806099e-004,+3.27810830e-004
+1.56656823e+011,+1.52747949e+000,+2.88700681e-003,+1.89446127e-001,+2.33318526e+000,+8.81968739e-003,+1.52747949e+000,+2.88700681e-003,+1.89577278e-001,+1.57072337e+001,+2.33318526e+000,+8.81968739e-003,+8.99610336e-005,+5.90743281e-003,+2.86561031e-001,-8.43364754e-001,+2.86561031e-001,-8.43364754e-001,+8.90719559e-001,+8.90719559e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+8.99622514e-005,+2.75346711e-004,+2.75350424e-004
+1.61552348e+011,+1.52724026e+000,+1.37568993e-003,+9.30941610e-002,+2.33246092e+000,+4.20201809e-003,+1.52724026e+000,+1.37568993e-003,+9.31586087e-002,+1.48765045e+001,+2.33246092e+000,+4.20201809e-003,+1.18956966e-004,+8.05559905e-003,-1.60832759e-001,-9.25686088e-001,-1.60832759e-001,-9.25686088e-001,+9.39554102e-001,+9.39554102e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.18958480e-004,+3.63679034e-004,+3.63683655e-004
+1.66447874e+011,+1.52691665e+000,+2.14797596e-003,+1.49760154e-001,+2.33146983e+000,+6.55956051e-003,+1.52691665e+000,+2.14797596e-003,+1.49863831e-001,+1.50367051e+001,+2.33146983e+000,+6.55956051e-003,+1.11855572e-004,+7.80423324e-003,-4.50906820e-001,-7.44143832e-001,-4.50906820e-001,-7.44143832e-001,+8.70095974e-001,+8.70095974e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.11856912e-004,+3.42068800e-004,+3.42072889e-004
+1.71343400e+011,+1.52700543e+000,+2.39110805e-003,+1.71614979e-001,+2.33173986e+000,+7.30246995e-003,+1.52700543e+000,+2.39110805e-003,+1.71733786e-001,+1.51196109e+001,+2.33173986e+000,+7.30246995e-003,+1.02314898e-004,+7.34852750e-003,-7.73059827e-001,-5.12033638e-001,-7.73059827e-001,-5.12033638e-001,+9.27253980e-001,+9.27253980e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.02316054e-004,+3.12960106e-004,+3.12963632e-004
+1.76238926e+011,+1.52749926e+000,+1.88857534e-003,+1.39419898e-001,+2.33325041e+000,+5.76959484e-003,+1.52749926e+000,+1.88857534e-003,+1.39516416e-001,+1.46951528e+001,+2.33325041e+000,+5.76959484e-003,+1.20441530e-004,+8.89757989e-003,-8.76428720e-001,-8.93848429e-002,-8.76428720e-001,-8.93848429e-002,+8.80975000e-001,+8.80975000e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.20442815e-004,+3.68403625e-004,+3.68407547e-004
+1.81134451e+011,+1.52649617e+000,+2.34861346e-003,+1.78197339e-001,+2.33018503e+000,+7.17029888e-003,+1.52649617e+000,+2.34861346e-003,+1.78320702e-001,+1.48399993e+001,+2.33018503e+000,+7.17029888e-003,+1.10022038e-004,+8.35361262e-003,-8.67319437e-001,+2.07725564e-001,-8.67319437e-001,+2.07725564e-001,+8.91848034e-001,+8.91848034e-001,                ,+8.00000000e-003,                ,                ,                ,                ,+1.10023159e-004,+3.36413242e-004,+3.36416660e-004
