freq            ,ref_ind         ,kappa           ,alpha           ,epsilon_r       ,epsilon_i       ,ref_ind_S       ,kappa_S         ,alpha_S         ,alpha_max       ,epsilonS_r      ,epsilonS_i      ,delta_N         ,delta_A         ,H_measure_r     ,H_measure_i     ,H_calc_r        ,H_calc_i        ,T_measure       ,T_calc          ,thickness       ,allThicknesses  ,QSnValue        ,QSkValue        ,Num_Thickness   ,N_std           ,delta_K         ,delta_Eps_1     ,delta_Eps_2     
+7.83284114e+010,+1.48978420e+000,-1.00000000e-002,-3.28101282e-001,+2.21935696e+000,-2.97956840e-002,+1.49429443e+000,-9.37718016e-003,-3.07879476e-001,+6.36546340e+001,+2.23282791e+000,-2.80245361e-002,+4.07281101e-003,+1.21879522e+000,-2.89203788e-002,-1.01613091e+000,-2.38721325e-002,-9.55677324e-001,+1.01654238e+000,+9.55975431e-001,+2.00000000e-003,+1.90000000e+003,+1.00000000e+000,+1.00000000e+000,+0.00000000e+000,+2.00000000e+000,+3.71212218e-002,+1.14757728e-002,+1.10863687e-001
+8.32239371e+010,+1.49474521e+000,-1.00000000e-002,-3.48607612e-001,+2.23416324e+000,-2.98949042e-002,+1.49444248e+000,-9.30052541e-003,-3.24447851e-001,+6.57104162e+001,+2.23327181e+000,-2.77982004e-002,+3.42023551e-003,+6.17749036e-001,-1.21107313e-001,-9.93957047e-001,-1.17667350e-001,-9.64036342e-001,+1.00130794e+000,+9.71190853e-001,                ,+2.00000000e+003,+5.75193861e-001,+5.90679114e-001,+8.00000000e+000,                ,+1.77082098e-002,+9.89329913e-003,+5.28641817e-002
+8.81194628e+010,+1.49459052e+000,-9.22387066e-003,-3.40465926e-001,+2.23371575e+000,-2.75718193e-002,+1.49459052e+000,-9.22387066e-003,-3.40701626e-001,+6.73855367e+001,+2.23371575e+000,-2.75718193e-002,+5.65450880e-004,+2.08995149e-002,-2.11234427e-001,-9.71115274e-001,-2.11234427e-001,-9.71115274e-001,+9.93823354e-001,+9.93823354e-001,                ,+2.10000000e+003,+6.38471266e-001,+6.56362065e-001,+2.30000000e+001,                ,+5.65815973e-004,+1.67979703e-003,+1.68089509e-003
+9.30149885e+010,+1.49112283e+000,-2.14136229e-003,-8.34318160e-002,+2.22344270e+000,-6.38606840e-003,+1.49112283e+000,-2.14136229e-003,-8.34895747e-002,+6.87005310e+001,+2.22344270e+000,-6.38606840e-003,+4.70632136e-004,+1.83600401e-002,-3.02912247e-001,-9.44223252e-001,-3.02912247e-001,-9.44223252e-001,+9.91621591e-001,+9.91621590e-001,                ,                ,                ,                ,                ,                ,+4.70903076e-004,+1.40152389e-003,+1.40233307e-003
+9.79105142e+010,+1.48667695e+000,+1.30310015e-003,+5.34436037e-002,+2.21020665e+000,+3.87457790e-003,+1.48667695e+000,+1.30310015e-003,+5.34806019e-002,+6.97064106e+001,+2.21020665e+000,+3.87457790e-003,+4.04540679e-004,+1.66113272e-002,-3.96577944e-001,-9.08912811e-001,-3.96577944e-001,-9.08912811e-001,+9.91663533e-001,+9.91663533e-001,                ,                ,                ,                ,                ,                ,+4.04749051e-004,+1.20389746e-003,+1.20451648e-003
+1.02806040e+011,+1.48283152e+000,+1.80513160e-003,+7.77349116e-002,+2.19878605e+000,+5.35341206e-003,+1.48283152e+000,+1.80513160e-003,+7.77887263e-002,+7.04718821e+001,+2.19878605e+000,+5.35341206e-003,+3.57311108e-004,+1.54047851e-002,-4.89490925e-001,-8.61324418e-001,-4.89490925e-001,-8.61324418e-001,+9.90697289e-001,+9.90697289e-001,                ,                ,                ,                ,                ,                ,+3.57476793e-004,+1.06095493e-003,+1.06144570e-003
+1.07701566e+011,+1.48043644e+000,+4.06994194e-004,+1.83611061e-002,+2.19169188e+000,+1.20505807e-003,+1.48043644e+000,+4.06994194e-004,+1.83738172e-002,+7.10703981e+001,+2.19169188e+000,+1.20505807e-003,+3.22435886e-004,+1.45625398e-002,-5.76345902e-001,-8.00009659e-001,-5.76345902e-001,-8.00009659e-001,+9.85996984e-001,+9.85996984e-001,                ,                ,                ,                ,                ,                ,+3.22571465e-004,+9.54954239e-004,+9.55355561e-004
+1.12597091e+011,+1.47980833e+000,-1.79833803e-003,-8.48178207e-002,+2.18982946e+000,-5.32239120e-003,+1.47980833e+000,-1.79833803e-003,-8.48765388e-002,+7.15628778e+001,+2.18982946e+000,-5.32239120e-003,+2.95621924e-004,+1.39578917e-002,-6.51472394e-001,-7.27533175e-001,-6.51472394e-001,-7.27533175e-001,+9.76586300e-001,+9.76586300e-001,                ,                ,                ,                ,                ,                ,+2.95735521e-004,+8.73863907e-004,+8.74200519e-004
+1.17492617e+011,+1.48083907e+000,-3.78701615e-003,-1.86378728e-001,+2.19287000e+000,-1.12159229e-002,+1.48083907e+000,-3.78701615e-003,-1.86507756e-001,+7.19799943e+001,+2.19287000e+000,-1.12159229e-002,+2.74186894e-004,+1.35082779e-002,-7.12175097e-001,-6.49926006e-001,-7.12175097e-001,-6.49926006e-001,+9.64156202e-001,+9.64156202e-001,                ,                ,                ,                ,                ,                ,+2.74283857e-004,+8.09975893e-004,+8.10263803e-004
+1.22388143e+011,+1.48301089e+000,-4.71105950e-003,-2.41516354e-001,+2.19929910e+000,-1.39731051e-002,+1.48301089e+000,-4.71105950e-003,-2.41683552e-001,+7.23148578e+001,+2.19929910e+000,-1.39731051e-002,+2.56698405e-004,+1.31732766e-002,-7.60661311e-001,-5.73391824e-001,-7.60661311e-001,-5.73391824e-001,+9.52566961e-001,+9.52566961e-001,                ,                ,                ,                ,                ,                ,+2.56782430e-004,+7.58953625e-004,+7.59203636e-004
