freq            ,ref_ind         ,kappa           ,alpha           ,epsilon_r       ,epsilon_i       ,ref_ind_S       ,kappa_S         ,alpha_S         ,alpha_max       ,epsilonS_r      ,epsilonS_i      ,delta_N         ,delta_A         ,H_measure_r     ,H_measure_i     ,H_calc_r        ,H_calc_i        ,T_measure       ,T_calc          ,thickness       ,allThicknesses  ,QSnValue        ,QSkValue        ,Num_Thickness   ,N_std           ,delta_K         ,delta_Eps_1     ,delta_Eps_2     
+7.34328857e+010,+1.50987037e+000,-1.00000000e-002,-3.07594952e-001,+2.27960855e+000,-3.01974075e-002,+1.50737195e+000,-1.00000000e-002,-3.07807896e-001,+7.13781340e+001,+2.27207021e+000,-3.01474391e-002,+7.41675068e-003,+1.87394439e+000,-1.64823301e-002,-1.04477570e+000,-5.50604799e-003,-9.47712339e-001,+1.04490570e+000,+9.47728334e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+6.08803224e-002,+2.11419975e-002,+1.83390246e-001
+7.83284114e+010,+1.52209867e+000,-1.00000000e-002,-3.28101282e-001,+2.31668436e+000,-3.04419734e-002,+1.51769920e+000,-1.00000000e-002,-3.28328422e-001,+7.37722260e+001,+2.30331085e+000,-3.03539839e-002,+8.68998124e-003,+1.37182981e+000,-1.26164501e-001,-1.01459427e+000,-1.15047714e-001,-9.44609832e-001,+1.02240844e+000,+9.51590096e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+4.17822437e-002,+2.55419102e-002,+1.26651956e-001
+8.32239371e+010,+1.52784124e+000,-1.00000000e-002,-3.48607612e-001,+2.33419885e+000,-3.05568248e-002,+1.52784124e+000,-1.00000000e-002,-3.48848948e-001,+7.58254800e+001,+2.33419885e+000,-3.05568248e-002,+5.80199782e-003,+6.47902536e-001,-2.26538922e-001,-9.80936688e-001,-2.20027059e-001,-9.48046991e-001,+1.00675552e+000,+9.73244576e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.85725810e-002,+1.73576114e-002,+5.66358704e-002
+8.81194628e+010,+1.52679027e+000,-8.35016389e-003,-3.08216191e-001,+2.33101880e+000,-2.54978979e-002,+1.52679027e+000,-8.35016389e-003,-3.08429565e-001,+7.75026817e+001,+2.33101880e+000,-2.54978979e-002,+2.47710249e-004,+9.15591950e-003,-3.23096890e-001,-9.43534450e-001,-3.23096890e-001,-9.43534450e-001,+9.97320840e-001,+9.97320840e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+2.47879701e-004,+7.52263521e-004,+7.52783788e-004
+9.30149885e+010,+1.52216506e+000,-6.81978838e-004,-2.65712781e-002,+2.31698601e+000,-2.07616872e-003,+1.52216506e+000,-6.81978838e-004,-2.65896730e-002,+7.88215442e+001,+2.31698601e+000,-2.07616872e-003,+2.06681811e-004,+8.06322551e-003,-4.18417936e-001,-8.99474608e-001,-4.18417936e-001,-8.99474608e-001,+9.92032328e-001,+9.92032328e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+2.06807702e-004,+6.28925585e-004,+6.29309011e-004
+9.79105142e+010,+1.51693252e+000,+2.61767228e-003,+1.07357704e-001,+2.30107742e+000,+7.94166442e-003,+1.51693252e+000,+2.61767228e-003,+1.07432026e-001,+7.98312001e+001,+2.30107742e+000,+7.94166442e-003,+1.78176889e-004,+7.31655091e-003,-5.11934556e-001,-8.45186513e-001,-5.11934556e-001,-8.45186513e-001,+9.88138266e-001,+9.88138266e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.78273958e-004,+5.41497959e-004,+5.41791946e-004
+1.02806040e+011,+1.51281157e+000,+2.66788542e-003,+1.14887932e-001,+2.28859174e+000,+8.07201587e-003,+1.51281157e+000,+2.66788542e-003,+1.14967468e-001,+8.05992403e+001,+2.28859174e+000,+8.07201587e-003,+1.57931605e-004,+6.80910179e-003,-6.00122491e-001,-7.78170940e-001,-6.00122491e-001,-7.78170940e-001,+9.82698843e-001,+9.82698843e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.58009077e-004,+4.78684621e-004,+4.78918606e-004
+1.07701566e+011,+1.51066186e+000,+8.21568489e-004,+3.70641803e-002,+2.28209857e+000,+2.48222436e-003,+1.51066186e+000,+8.21568489e-004,+3.70898393e-002,+8.11984543e+001,+2.28209857e+000,+2.48222436e-003,+1.43109746e-004,+6.46358908e-003,-6.77619831e-001,-6.98877326e-001,-6.77619831e-001,-6.98877326e-001,+9.73446533e-001,+9.73446533e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.43173473e-004,+4.32616122e-004,+4.32808559e-004
+1.12597091e+011,+1.51073156e+000,-1.52908802e-003,-7.21187628e-002,+2.28230752e+000,-4.62008308e-003,+1.51073156e+000,-1.52908802e-003,-7.21686896e-002,+8.16896600e+001,+2.28230752e+000,-4.62008308e-003,+1.31792525e-004,+6.22277410e-003,-7.39900760e-001,-6.11729876e-001,-7.39900760e-001,-6.11729876e-001,+9.60034674e-001,+9.60034674e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.31846226e-004,+3.97803045e-004,+3.97965465e-004
+1.17492617e+011,+1.51267057e+000,-3.05329582e-003,-1.50268541e-001,+2.28816293e+000,-9.23726144e-003,+1.51267057e+000,-3.05329582e-003,-1.50372570e-001,+8.21041598e+001,+2.28816293e+000,-9.23726144e-003,+1.22722492e-004,+6.04626173e-003,-7.86459203e-001,-5.23611591e-001,-7.86459203e-001,-5.23611591e-001,+9.44821240e-001,+9.44821240e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.22768572e-004,+3.70527705e-004,+3.70667395e-004
