frequency/GHz;epsilon_r';epsilon_r'';n;alpha
75;2.1469126835;0;1.4652346855;0
75.025;2.1455571176;0;1.4647720361;0
75.05;2.1442574624;0;1.4643283315;0
75.075;2.1430134381;0;1.4639034934;0
75.1;2.1418246916;0;1.4634974177;0
75.125;2.1406907974;0;1.4631099745;0
75.15;2.1396112587;0;1.4627410087;0
75.175;2.1385855078;0;1.4623903404;0
75.2;2.1376129079;0;1.4620577649;0
75.225;2.1366927542;0;1.4617430534;0
75.25;2.135824275;0;1.4614459535;0
75.275;2.1350066341;0;1.4611661898;0
75.3;2.1342389315;0;1.4609034641;0
75.325;2.1335202062;0;1.4606574568;0
75.35;2.1328494374;0;1.4604278268;0
75.375;2.1322255473;0;1.4602142128;0
75.4;2.1316474028;0;1.4600162337;0
75.425;2.1311138181;0;1.4598334898;0
75.45;2.1306235571;0;1.4596655635;0
75.475;2.1301753361;0;1.4595120199;0
75.5;2.1297678261;0;1.4593724083;0
75.525;2.129399656;0;1.459246263;0
75.55;2.1290694152;0;1.459133104;0
75.575;2.1287756566;0;1.4590324385;0
75.6;2.1285168997;0;1.4589437617;0
75.625;2.1282916336;0;1.4588665578;0
75.65;2.1280983201;0;1.4588003016;0
75.675;2.1279353972;0;1.4587444592;0
75.7;2.1278012821;0;1.4586984891;0
75.725;2.1276943747;0;1.4586618438;0
75.75;2.1276130608;0;1.4586339708;0
75.775;2.1275557156;0;1.4586143135;0
75.8;2.1275207071;0;1.4586023129;0
75.825;2.1275063997;0;1.4585974084;0
75.85;2.127511157;0;1.4585990392;0
75.875;2.1275333461;0;1.4586066454;0
75.9;2.1275713404;0;1.4586196695;0
75.925;2.1276235231;0;1.4586375571;0
75.95;2.1276882906;0;1.4586597583;0
75.975;2.1277640561;0;1.458685729;0
76;2.1278492523;0;1.4587149318;0
76.025;2.1279423351;0;1.4587468372;0
76.05;2.1280417865;0;1.4587809248;0
76.075;2.1281461177;0;1.4588166841;0
76.1;2.1282538722;0;1.4588536158;0
76.125;2.1283636286;0;1.4588912326;0
76.15;2.1284740032;0;1.4589290604;0
76.175;2.1285836531;0;1.4589666388;0
76.2;2.1286912785;0;1.4590035225;0
76.225;2.1287956253;0;1.4590392816;0
76.25;2.128895487;0;1.4590735029;0
76.275;2.1290113419;0.0002631646;1.4591132067;0.0028812397
76.3;2.1291421986;0.0007911651;1.4591580696;0.0086645883
76.325;2.1292652449;0.0013194006;1.4592002773;0.0144539715
76.35;2.129379448;0.0018474274;1.4592394761;0.0202445654
76.375;2.1294838322;0.0023747942;1.4592753319;0.0260314635
76.4;2.1295774798;0.002901043;1.4593075302;0.0318096808
76.425;2.1296595324;0.0034257089;1.459335777;0.0375741606
