frequency/GHz;epsilon_r';epsilon_r'';n;alpha
90.3;2.1465265677;0.0138673472;1.4651105639;0.179006728
90.325;2.1465146058;0.0137924697;1.4651063994;0.1780899684
90.35;2.1465037285;0.0137190365;1.465102607;0.1771912776
90.375;2.1464938748;0.0136470568;1.4650991659;0.1763107942
90.4;2.146484983;0.0135765355;1.4650960551;0.1754485988
90.425;2.1464769912;0.0135074728;1.4650932534;0.1746047143
90.45;2.1464698374;0.0134398646;1.4650907396;0.1737791049
90.475;2.1464634596;0.0133737022;1.4650884925;0.1729716767
90.5;2.1464577964;0.0133089723;1.4650864912;0.1721822777
90.525;2.146452787;0.0132456573;1.4650847147;0.1714106984
90.55;2.1464483713;0.0131837353;1.4650831427;0.1706566718
90.575;2.1464444903;0.0131231799;1.4650817549;0.1699198748
90.6;2.1464410867;0.0130639606;1.4650805317;0.1691999292
90.625;2.1464381042;0.0130060428;1.4650794538;0.1684964024
90.65;2.1464354886;0.0129493876;1.4650785028;0.1678088093
90.675;2.1464331877;0.0128939525;1.4650776606;0.1671366135
90.7;2.1464311514;0.0128396912;1.4650769101;0.1664792295
90.725;2.1464293319;0.0127865538;1.4650762351;0.1658360243
90.75;2.1464276842;0.0127344869;1.4650756199;0.1652063198
90.775;2.1464261661;0.0126834339;1.4650750502;0.1645893949
90.8;2.146424738;0.0126333352;1.4650745125;0.1639844885
90.825;2.1464233639;0.0125841284;1.4650739942;0.1633908012
90.85;2.1464220107;0.0125357484;1.4650734841;0.1628074992
90.875;2.1464206489;0.0124881279;1.4650729719;0.1622337166
90.9;2.1464192526;0.0124411971;1.4650724489;0.1616685585
90.925;2.1464177994;0.0123948847;1.4650719072;0.1611111046
90.95;2.1464162709;0.0123491177;1.4650713406;0.1605604123
90.975;2.1464146523;0.0123038216;1.4650707438;0.16001552
91;2.1464129331;0.0122589209;1.4650701132;0.1594754509
91.025;2.1464111065;0.0122143393;1.4650694465;0.1589392167
91.05;2.1464091699;0.0121699999;1.4650687426;0.1584058212
91.075;2.1464071249;0.0121258259;1.465068002;0.1578742636
91.1;2.146404977;0.0120817401;1.4650672266;0.1573435435
91.125;2.146402736;0.012037666;1.4650664195;0.1568126632
91.15;2.1464004159;0.0119935277;1.4650655855;0.1562806332
91.175;2.1463980345;0.0119492502;1.4650647307;0.1557464748
91.2;2.1463956138;0.0119047597;1.4650638624;0.1552092248
91.225;2.1463931798;0.0118599842;1.4650629894;0.1546679389
91.25;2.1463907625;0.0118148533;1.4650621219;0.1541216959
91.275;2.1463883954;0.0117692988;1.4650612714;0.1535696014
91.3;2.1463861161;0.0117232551;1.4650604505;0.1530107913
91.325;2.1463839656;0.011676659;1.4650596732;0.1524444363
91.35;2.1463819882;0.0116294506;1.4650589547;0.1518697442
91.375;2.1463802319;0.0115815729;1.4650583111;0.1512859647
91.4;2.1463787475;0.0115329727;1.4650577598;0.1506923922
91.425;2.1463775888;0.0114836004;1.4650573192;0.1500883691
91.45;2.1463768126;0.0114334104;1.4650570086;0.1494732892
91.475;2.1463764781;0.0113823612;1.4650568482;0.1488466003
91.5;2.1463766468;0.011330416;1.4650568588;0.1482078077
91.525;2.1463773825;0.0112775423;1.4650570624;0.1475564763
91.55;2.1463787508;0.0112237126;1.4650574812;0.1468922333
91.575;2.1463808189;0.0111689042;1.4650581382;0.1462147709
91.6;2.1463836555;0.0111130998;1.4650590569;0.1455238481
91.625;2.1463873302;0.0110562871;1.4650602609;0.1448192924
91.65;2.1463919139;0.0109984594;1.4650617746;0.144101002
91.675;2.1463974776;0.0109396153;1.465063622;0.1433689474
91.7;2.1464040928;0.0108797591;1.4650658278;0.1426231722
91.725;2.1464118312;0.0108189009;1.4650684162;0.1418637941
91.75;2.1464207638;0.0107570562;1.4650714117;0.1410910064
91.775;2.1464309614;0.0106942465;1.4650748383;0.1403050779
91.8;2.1464424939;0.0106304991;1.4650787201;0.1395063537
91.825;2.1464554297;0.0105658467;1.4650830803;0.1386952547
91.85;2.1464698361;0.0105003281;1.465087942;0.137872278
91.875;2.1464857786;0.0104339878;1.4650933275;0.1370379962
91.9;2.1465033205;0.0103668757;1.4650992586;0.1361930566
91.925;2.1465225229;0.0102990474;1.4651057561;0.1353381807
91.95;2.1465434443;0.010230564;1.4651128401;0.1344741624
91.975;2.1465661403;0.0101614918;1.4651205295;0.133601867
92;2.1465906633;0.0100919025;1.4651288423;0.1327222296
92.025;2.1466170623;0.0100218727;1.4651377954;0.1318362525
92.05;2.1466453826;0.009951484;1.4651474042;0.1309450042
92.075;2.1466756658;0.0098808225;1.4651576829;0.1300496157
92.1;2.1467079491;0.0098099791;1.4651686443;0.129151279
92.125;2.1467422654;0.0097390488;1.4651802998;0.1282512432
92.15;2.146778643;0.0096681305;1.4651926591;0.1273508129
92.175;2.1468171055;0.0095973271;1.4652057301;0.1264513433
92.2;2.1468576715;0.0095267449;1.4652195195;0.125554238
92.225;2.1469003544;0.0094564936;1.4652340317;0.1246609447
92.25;2.1469451624;0.0093866857;1.4652492697;0.123772952
92.275;2.1469920981;0.0093174362;1.4652652343;0.1228917847
92.3;2.1470411588;0.0092488629;1.4652819248;0.1220190006
92.325;2.1470923358;0.0091810851;1.4652993382;0.1211561852
92.35;2.1471456149;0.0091142241;1.4653174697;0.1203049484
92.375;2.1472009759;0.0090484025;1.4653363124;0.1194669193
92.4;2.1472583928;0.0089837437;1.4653558576;0.1186437419
92.425;2.1473178336;0.008920372;1.4653760943;0.1178370706
