,freq,E1 eccentricity,E2 eccentricity
133,947728383000,0.9132169205,0.9106985196
134,952613581000,0.9135056978,0.9107899043
135,957498779000,0.9137856888,0.9109089285
136,962383977000,0.9140516285,0.9110603793
137,967269174000,0.9143090499,0.911236022
138,972154372000,0.9145724277,0.9114166068
139,977039570000,0.914859395,0.911578334
140,981924768000,0.9151832135,0.9117013799
141,986809966000,0.9155465987,0.9117771276
142,991695164000,0.9159397103,0.9118113186
143,996580362000,0.9163432259,0.9118219267
144,1001465560000,0.9167351272,0.9118327809
145,1006350760000,0.9170981961,0.9118655903
146,1011235960000,0.9174252207,0.9119334819
147,1016121150000,0.9177201612,0.9120381438
148,1021006350000,0.9179953641,0.9121710935
149,1025891550000,0.9182661713,0.912317957
150,1030776750000,0.9185450118,0.912464011
151,1035661940000,0.9188369093,0.9125990978
152,1040547140000,0.9191377779,0.9127205413
153,1045432340000,0.9194359763,0.9128334102
154,1050317540000,0.9197165519,0.9129481406
155,1055202740000,0.9199668694,0.9130763205
156,1060087930000,0.9201817101,0.9132259255
157,1064973130000,0.9203659295,0.9133976864
158,1069858330000,0.9205334515,0.9135840456
159,1074743530000,0.9207027542,0.9137712432
160,1079628720000,0.9208904927,0.9139437932
161,1084513920000,0.9211057241,0.9140895679
162,1089399120000,0.9213469877,0.9142035514
163,1094284320000,0.9216032278,0.914288879
164,1099169520000,0.9218581835,0.9143549579
165,1104054710000,0.9220966669,0.9144133039
166,1108939910000,0.9223106035,0.9144724389
167,1113825110000,0.9225025224,0.914533673
168,1118710310000,0.9226848606,0.9145896851
169,1123595510000,0.9228751949,0.9146268029
170,1128480700000,0.9230894638,0.9146300909
171,1133365900000,0.923336037,0.9145891075
172,1138251100000,0.9236126388,0.9145021627
173,1143136300000,0.9239066565,0.9143778422
174,1148021490000,0.9241982375,0.9142336181
175,1152906690000,0.9244651192,0.9140920444
176,1157791890000,0.9246881507,0.913975373
177,1162677090000,0.9248565125,0.913899677
178,1167562290000,0.9249713216,0.9138699995
179,1172447480000,0.9250460873,0.913878414
180,1177332680000,0.9251031194,0.9139063502
181,1182217880000,0.9251668246,0.9139307291
182,1187103080000,0.9252565708,0.9139314536
183,1191988280000,0.9253819611,0.9138971832
184,1196873470000,0.9255419534,0.9138274235
185,1201758670000,0.925727529,0.9137307626
186,1206643870000,0.9259265492,0.9136204257
187,1211529070000,0.9261291134,0.9135088323
188,1216414260000,0.9263317095,0.9134028879
189,1221299460000,0.9265386461,0.9133016426
190,1226184660000,0.9267598268,0.9131975564
191,1231069860000,0.9270053301,0.9130813187
192,1235955060000,0.9272791874,0.9129482429
193,1240840250000,0.9275755457,0.9128031416
