abe,freq,L
206,1304347830000,0.0003264652
207,1309233020000,0.0003418606
208,1314118220000,0.0003536563
209,1319003420000,0.0003617777
210,1323888620000,0.0003661287
211,1328773820000,0.0003665209
212,1333659010000,0.0003627155
213,1338544210000,0.0003545765
214,1343429410000,0.000342246
215,1348314610000,0.0003261896
216,1353199800000,0.0003070313
217,1358085000000,0.000285287
218,1362970200000,0.0002612162
219,1367855400000,0.0002349002
220,1372740600000,0.0002065017
221,1377625790000,0.0001765505
222,1382510990000,0.0001461155
223,1387396190000,0.0001167762
224,1392281390000,9.035556396333636e-05
225,1397166590000,6.846192626598653e-05
226,1402051780000,5.202544964978039e-05
227,1406936980000,4.108596134300886e-05
228,1411822180000,3.499554148510965e-05
229,1416707380000,3.2959541777390055e-05
230,1421592570000,3.462363678856256e-05
231,1426477770000,4.03837731011252e-05
232,1431362970000,5.124164624673446e-05
233,1436248170000,6.824572540706747e-05
234,1441133370000,9.175743914351721e-05
235,1446018560000,0.0001209141
236,1450903760000,0.0001536193
237,1455788960000,0.000187127
238,1460674160000,0.000218891
239,1465559360000,0.0002471622
240,1470444550000,0.0002710138
241,1475329750000,0.0002899319
242,1480214950000,0.0003034777
243,1485100150000,0.0003115319
244,1489985340000,0.0003151602
245,1494870540000,0.0003173481
246,1499755740000,0.0003224437
247,1504640940000,0.0003341501
248,1509526140000,0.0003539166
249,1514411330000,0.0003820791
250,1519296530000,0.0004218914
251,1524181730000,0.0004845551
252,1529066930000,0.0005938526
253,1533952130000,0.0007897036
254,1538837320000,0.0011277559
255,1543722520000,0.0016691809
256,1548607720000,0.0024580774
257,1553492920000,0.0034982796
258,1558378110000,0.0047543943
259,1563263310000,0.0061902181
260,1568148510000,0.007824717
261,1573033710000,0.0097696011
262,1577918910000,0.0122285987
263,1582804100000,0.0154608261
264,1587689300000,0.0197084506
265,1592574500000,0.025087859
266,1597459700000,0.0314716349
267,1602344890000,0.0384504332
268,1607230090000,0.0454706273
269,1612115290000,0.0521283959
270,1617000490000,0.0584418675
271,1621885690000,0.0649123605
272,1626770880000,0.0723588844
273,1631656080000,0.0816532358
274,1636541280000,0.0934632824
275,1641426480000,0.1080417801
276,1646311680000,0.1250858533
277,1651196870000,0.1437314831
